Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
12303,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,felina,"(Molina, 1782)",,,,,"","Marine Otter, Sea Cat","Chungungo, Loutre De Mer","Chichimen, Chinchimen, Chingungo, Gato De Mar, Gato Marino, Huallaca, Nutria De Mar",EN,A3cd,3.1,2008,decreasing,N
12419,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lutra,lutra,"(Linnaeus, 1758)",,,,,"","Common Otter, Eurasian Otter, European Otter, European River Otter, Old World Otter","Loutre Commune, Loutre De Rivière, Loutre D'Europe","NUTRIA, Nutria Común",NT,,3.1,2008,decreasing,N
12421,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lutra,sumatrana,"(Gray, 1865)",,,,,"",Hairy-nosed Otter,Loutre De Sumatra,Nutria De Sumatra,EN,A2cd,3.1,2008,decreasing,N
12427,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Lutrogale,perspicillata,"(I. Geoffroy Saint-Hilaire, 1826)",,,,,"","Indian Smooth-coated Otter, Smooth-coated Otter",Loutre D'Asie,"Nutria Lisa, Nutria Simung",VU,A2acd,3.1,2008,decreasing,N
13006,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Megaptera,novaeangliae,"(Borowski, 1781)",,,,,"","Bunch, Humpback Whale, Hump Whale, Hunchbacked Whale","Baleine À Bosse, Baleine À Taquet, Jubarte, Mégaptère, Rorqual À Bosse, Rorqual Du Cap","Ballena Jorobada, Ballena Jorobada, Gubarte, Gubarte, Jorobada, Jorobada, Rorcual Jorobado, Rorcual Jorobado",LC,,3.1,2008,increasing,N
13241,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,bidens,"(Sowerby, 1804)",,,,,"","North Atlantic Beaked Whale, Sowerby's Beaked Whale",Mésoplodon De Sowerby,"Ballena De Pico De Sowerby, Ballena De Pico De Sowerby, Zifio De Sowerby, Zifio De Sowerby",DD,,3.1,2008,unknown,N
13242,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,bowdoini,"Andrews, 1908",,,,,"","Andrew's Beaked Whale, Andrews' Beaked Whale, Splaytooth Beaked Whale","Mésoplodon De Andrew, Mésoplodon De Bowdoin","Ballena De Pico De Andrew, Zifio De Andrew",DD,,3.1,2008,unknown,N
13243,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,carlhubbsi,"Moore, 1963",,,,,"","Arch-beaked Whale, Hubbs' Beaked Whale, Hubbs's Beaked Whale",Mésoplodon De Hubbs,"Ballena De Pico De Hubbs, Zifio De Hubbs",DD,,3.1,2008,unknown,N
13244,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,densirostris,"(Blainville, 1817)",,,,,"",Blainville's Beaked Whale,Mésoplodon De Blainville,"Ballena De Pico De Blainville, Ballena De Pico De Blainville, Zifio De Blainville, Zifio De Blainville",DD,,3.1,2008,unknown,N
13245,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,europaeus,"(Gervais, 1855)",,,,,"","Gervais' Beaked Whale, Gulf Stream Beaked Whale",Mésoplodon De Gervais,"Ballena De Pico De Gervais, Ballena De Pico De Gervais, Zifio De Gervais, Zifio De Gervais",DD,,3.1,2008,unknown,N
13246,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,ginkgodens,"Nishiwaki & Kamiya, 1958",,,,,"",Ginkgo-toothed Beaked Whale,Mésoplodon De Nishiwaki,Zifio De Nishiwaki,DD,,3.1,2008,unknown,N
13247,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,grayi,"Von Haast, 1876",,,,,"","Gray's Beaked Whale, Southern Beaked Whale",Mésoplodon De Gray,"Ballena De Pico De Gray, Zifio De Gray",DD,,3.1,2008,unknown,N
13248,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,hectori,"(Gray, 1871)",,,,,"","Hector's Beaked Whale, Skew-beaked Whale",Mésoplodon De Hector,"Ballena De Pico De Héctor, Zifio De Héctor",DD,,3.1,2008,unknown,N
13249,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,layardii,"(Gray, 1865)",,,,,"","Layard's Beaked Whale, Strap-toothed Whale",Mésoplodon De Layard,"Ballena De Pico De Layard, Zifio De Layard",DD,,3.1,2008,unknown,N
13250,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,mirus,"True, 1913",,,,,"",True's Beaked Whale,"Mésoplodon  De True, Mésoplodon De True","Ballena De Pico De True, Ballena De Pico De True, Zifio De True, Zifio De True",DD,,3.1,2008,unknown,N
41759,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,perrini,"Dalebout, Mead, Baker, Baker & van Helden, 2002",,,,,"",Perrin's Beaked Whale,Mésoplodon De Perrin,Zifio De Perrin,DD,,3.1,2008,unknown,N
13251,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,peruvianus,"Reyes, Mead & Van Waerebeek, 1991",,,,,"","Lesser Beaked Whale, Peruvian Beaked Whale, Pygmy Beaked Whale",Mésoplodon Pygmée,,DD,,3.1,2008,unknown,N
13252,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,stejnegeri,"True, 1885",,,,,"","Bering Sea Beaked Whale, Saber-toothed Whale, Stejneger's Beaked Whale",Mésoplodon De Stejneger,"Ballena De Pico De Stejneger, Zifio De Stejneger",DD,,3.1,2008,unknown,N
