genus,species,region,CITES,BGs,priority,notes
Bowiea,volubilis,S and E Africa,,36,2,
Brachystelma,pulchellum,South Africa,,0,2,
Bridelia,micrantha,Africa,,5,2,
Brucea,antidysenterica,Africa,,1,2,
Bulbine,latifolia,South Africa,,17,2,
Bunium,persicum,Himalaya,,0,2,
Butea,monosperma,Nepal/Himalaya,,7,2,
Buxus,koreana,Korea,,0,2,
Caesalpinia,volkensii,Africa,,1,2,
Canarium,strictum,southern India,,0,2,
Capparis,spinosa,Mediterranean Europe,,35,2,
Caragana,chamlagu,"N China, Korea",,3,2
Caragana,koreana,Korea,,0,2
Carica,papaya,C and S America,,52,2
Carissa,edulis,Africa,,11,2
Carissa,spinosa,Australia,,1,2
Cassia,abbreviata,S Africa,,4,2
Catharanthus,roseus,Madagascar,,50,2
Celastrus,paniculatus,southern India,,5,2
Centella,asiatica,"South Africa but pan tropical to Chile, New Zealand",,16,2
Centropogon,pilalensis,Ecuador,,0,2
Cetraria,islandica,"Europe, especially Arctic regions",,0,2
Changium,smyrnioides,China,,7,2
Chenopodium,opulifolium,Europe,,8,2
Chuanminshen,violaceum,China,,0,2
Cibotium,barometz,"India, S China, W Malaysia",II,9,2
Cimicifuga,racemosa,E N America,,33,2
Cinnamomum,spp.,"E to SE Asia, Australasia, tropical America",,,2
Cissus,aphyllantha,Africa,,0,2
Cistanche,tubulosa,W India to NW China,,3,2
Clausena,anisata,Africa,,4,2
Cleome,gynandra,Africa,,7,2
Clerodendrum,incisum,Africa,,0,2
Clerodendrum,eriophyllum,Africa,,0,2
Clerodendrum,myricoides,Africa,,4,2
Clivia,nobilis,South Africa,,44,2
Colchicum,luteum,Western Himalaya,,7,2
Colchium,autumnale,Europe to N Africa,,54,2
Commiphora,africana,Africa,,9,2
Commiphora,holtziana,Africa,,2,2
Commiphora,myrrha,Africa,,2,2
Commiphora,wightii,Arabia to Indian desert,,1,2
Convallaria,majalis,N Europe,,58,2
Coptis,chinensis,Vietnam,,8,2,
Coptis,chinensis,E Asia,,0,2,var. brebisepala
Coptis,quinquesecta,Vietnam,,0,2,
Coridothymus,capitatus,Meditterranean Europe,,3,2,
Corydalis,humosa,Asia,,0,2,
Corylus,sieboldiana,"East Asia, Japan",,0,2,
Cotoneaster,integerrima,Europe,,0,2,
Craterostigma,nanum,tropical and southern Africa,,0,2,
Crocosmia,paniculata,South Africa,,13,2,
Crocus,sativus,Europe,,32,2,
Croton,membranaceus,Africa,,0,2,
Cycas,beddomei,tropical Asia,I,7,2,
Daphne,genkwa,China,,7,2,
Decalepis,hamiltonii,Southern India,,0,2,
Delphinium,himalayai,Nepal/Himalaya,,0,2,
Dendrobium,spp.,tropical to warm Asia to Australia and Pacific,"1365 species, cruentum - I, all II",,2,
Dialium,guineense,Africa,,7,2
Diaphananthe,millarii,South Africa,II,1,2
Digitalis,lanata,Europe,,52,2
Dionea,muscipula,SE N America,II,2,2
Dioscorea,deltoidea,western Himalaya,,6,2
Dioscorea,dregeana,South Africa,,2,2
Dioscorea,nipponica,Asia,,15,2
Diphylleia,sinensis,W China,,4,2
Dovyalis,abyssinica,Africa,,4,2
Drosera,rotundifolia,global in wet places,,46,2
Drosera,spp.,global in wet places,,,2
Dryopteris,filix-mas,N Europe,,51,2
Dysosma,versipellis,E Asia,,7,2
Dysoxylum,malabaricum,southern India,,0,2
Echinocodon,lobophyllus,China,,0,2
Elaeodendron,buchananii,Africa,,3,2
Embelia,schimperi,Africa,,4,2
Encephalartos,aemulans,South Africa,I,3,2
Encephalartos,cerinus,South Africa,I,4,2
Encephalartos,friderici-guilielmi,South Africa,I,16,2
Encephalartos,ghellinckii,South Africa,I,11,2
Encephalartos,lebomboensis,South Africa,I,28,2
Encephalartos,msinganus,South Africa,I,1,2
Encephalartos,ngoyanus,South Africa,I,11,2
Encephalartos,nubimontanus,South Africa,I,1,2
Encephalartos,senticosus,South Africa,I,1,2
Ephedra,distachya,Europe,,38,2
Ephedra,gerardiana,Himalaya,,16,2
Epimedium,truncatum,China,II,0,2
Eremostachys,superba,western Himalaya,,0,2
Eriosema,populifolium,South Africa,,0,2
Eriospermum,mackenii,South Africa,,2,2
Erythrina,abyssinica,Africa,,17,2
Euadenia,eminens,tropical Africa,,7,2
Euclea,divinorum,tropical Africa to Arabia,,5,2
Eucomis,autumnalis,South Africa,,0,2
Eugenia,hastilis,Mauritius,,0,2
Eulophia,petersii,South Africa,II,10,2
Euphorbia,ambovombensis,Madagascar,I,5,2
Euphorbia,antisiphilitica,SW N America,,1,2
Euphorbia,bupleurifolia,South Africa,,12,2
Euphorbia,candelabrum,Africa,,18,2
Euphorbia,franksiae,South Africa,II,2,2
Euphorbia,matabelensis,Africa,,0,2
Euphorbia,woodii,South Africa,,10,2
Fagaropsis,hildebranditii,tropical and NE Africa,,0,2
Ferula,fukanensis,central Asia,,0,2
Ferula,sinkiangensis,China,,0,2
Fritillaria,roylei,western Himalaya,,5,2
Fritillaria,walujewii,China,,7,2
Funtumia,africana,tropical Africa,,0,2
Garcinia,gummigutta,southern India,,0,2
Gardenia,volkensii,Africa,,7,2
Gasteria,croucheri,SA,,10,2
Gentiana,kurroo,western Himalaya,,7,2
Ginko,biloba,E China,,0,2
Gleditsia,japonica,"East Asia, Japan",,28,2
Gloriosa,superba,South Africa,,33,2
Glycyrrhiza,spp.,"Eurasia, Australia, N America and temperate S America",,,2
Gonolobus,saraguranus,tropical America,II,0,2
Guaiacum,spp.,warm America,18 on II,,2
Gymnadenia,conopsea,northern Europe,,16,2
Gynostemma,pentaphyllum,China,,2,2
Habenaria,intermedia,western Himalaya,,0,2
Hagenia,abyssinica,E Africa,,6,2,
Harpagophytum,procumbens,SA,,5,2,
Harrisonia,abyssinica,tropical Africa,,5,2,
Haworthia,limifolia,South Africa,,19,2,
Helichrysum,odoratissimum,South Africa,,1,2,
Hippophae,rhamnoides,Europe to N China,,57,2,(location specific)
Horsfieldia,spp.,Indomalaysia to Australia,,,2,
Hoslundia,opposita,tropical Africa,,4,2,
Hovenia,dulcis,E Asia,,54,2,
Huernia,hystrix,South Africa,,10,2,
Huperizia,saururus,Argentina,,0,2,
Huperzia,serrata,China,,0,2,
Hydrastis,canadensis,C and E N America,II,17,2,
Hydrostachys,polymorpha,South Africa,,0,2,
Hymenaea,courbaril,eastern Amazonia,,20,2,
Hyoscyamus,niger,"temperate Europe, natur.N America",,49,2,
Hypericum,perforatum,"Europe to C China, natur W N America",,63,2
Hypoxis,hemerocallidea,South Africa,,11,2
Juniperus,communis,N temperate,,1,2
Justicia,capensis,South Africa,,1,2
Kedrostis,foetidissima,Africa,,4,2
Kigelia,africana,tropical Africa,,0,2
Kleinia,squarrosa,Africa,,0,2
Knipofia,spp.,"Arabia, tropical and S Africa, Madagascar",,,2
Knowltonia,bracteata,South Africa,,3,2
Lannea,schweinfurthii,E and S Africa,,2,2
Laurus,nobilis,Europe,,78,2
Leptolaena,abrahamii,Madagascar,,0,2
Leptolaena,cuspidata,Madagascar,,0,2
Leptolaena,multiflora,Madagascar,,0,2
Leptolaena,raymondii,Madagascar,,0,2
Linum,usitatissimum,Europe,,38,2
Loesenera,kalantha,tropical Africa,,0,2,
Lonicera,bournei,Vietnam,,0,2,
Lophophora,willamsii,Mexico,,0,2,
Lophora,diffusa,N Mexico,,0,2,
Lophophytum,leandri,S America,II,0,2,
Lycoris,aurea,China and Japan,,6,2,
Maerua,decumbens,tropical and S Africa to India,,0,2,
Maesa,lanceolata,"tropical and S Africa, Madagascar",,6,2,
Magnolia,hodgsonii,SE Asia,II,0,2,
Magnolia,officinalis,China,II,46,2,spp. Biloba
Magnolia,officinalis,China,II,0,2,spp. officinalis
Markhamia,lutea,tropical Africa,,10,2,
Maytenus,senegalensis,Spain and N Africa to Bangladesh,,4,2,
Meconopsis,aculeata,western Himalaya,,4,2,
Menyanthes,trifoliata,circumboreal,,40,2,
Minthostachys,mollis,Argentina,,0,2,
Monarrhenus,salicifolius,Mauritius,,1,2
Mondia,whytei,tropical Africa,,3,2
Monsonia,natalensis,South Africa,,0,2
Morchella,spp.,global,,,2
Morinda,officinalis,China,,4,2
Myrica,salicifolia,Africa,,0,2
Myristica,dactyloides,southern India,,0,2
Myrsine,africana,Africa,,43,2
Mystacidium,capense,South Africa,,1,2
Napeta,binaludensis,Iran,,0,2
Nervilia,aragoana,southern India,II,1,2
Obregonia,denegrii,N E Mexico,I,30,2
Ochrosia,borbonica,tropical Africa,,5,2
Ocimum,americanum,"Africa, Asia",,11,2
Ocimum,gratissimum,tropical and S Africa,,13,2
Ocimum,kilimandcharicum,E Africa,,0,2
Ocotea,bullata,South Africa,,0,2
Ocotea,usambarensis,E Africa,,0,2
Olinia,rochetiana,E and S Africa,,0,2
Opuntia,megarrhiza,Mexico,II,0,2
Orbea,woodii,South Africa,,1,2
Orchis,spp.,N temperate zones to S W China and India,218 species - II,,2
Origanum,syriacum,near Eurasia,,3,2
Origanum,vulgare,Europe to C Asia,,55,2
Ornithogalum,longibracteatum,South Africa,,18,2
Orobanche,coerulescens,Asia,,0,2
Osyris,abyssinica,Africa,,0,2
Ozoroa,insignis,tropical Africa,,3,2
Paederia,scandens,"S E Asia, Malaysia",,15,2
Paeonia,anomala,Russia,,31,2
Paeonia,emodi,Himalaya,,18,2
Paeonia,japonica,"E Asia, Japan",,13,2
Panax,ginseng,"Korea, N E China",II,13,2,
Panax,quinquefolius,N America,II,8,2,
Panax,stipuleanatus,Vietnam,,0,2,
Panax,vietnamensis,Vietnam,,0,2,
Pappea,capensis,tropical E to S Africa,,0,2,
Paullinia,pinnata,"tropical America, Africa",,7,2,
Pelargonium,spp.,South Africa,II,,2,South African spp.
Pentaphylloides,fruticosa,Russia,,4,2,
Peucedanum,caffrum,South Africa,,1,2,
Phellodendron,amurense,E Asia,,58,2,
Phellodendron,sachalinense,E Asia,,21,2,
Picrorhiza,scrophulariiflora,western Himalaya,,0,2,
Pimpinella,caffra,South Africa,,0,2,
Pinus,gerardiana,NW Himalaya,,10,2,
Pinus,sibirica,Russia,,27,2,
Pistacia,chinensis,Himalaya,,29,2,
Plectranthus,barbatus,"Africa, tropical and warm Old World",,11,2,
Plectranthus,grallatus,South Africa,,1,2,
Plectranthus,pseudomarrubioides,Africa,,2,2,
Plumbago,zeylanica,SE Asia,,24,2,
Polygonatum,multiflorum,India,,48,2,
Polystachya,ottoniana,South Africa,,3,2,
Prestonia,rotundiflora,tropical America,,0,2,
Primula,boveana,Egypt,,9,2,
Primula,elatior,Europe,,40,2,
Primula,veris,Europe,,55,2,
Prinsepia,sinensis,Himalaya to N China and Taiwan,,44,2,
Psammosilene,tunicoides,Himalaya,,1,2,
Pterocarpus,santalinus,southern India,II,3,2,
Ptychopetalum,olacoides,Eastern Amazonia,,0,2,
Rapanea,melanophloeos,tropical and S Africa,,2,2,(Myrsine)
Raphia,australis,South Africa,,10,2,
Reynoutria,sachalinensis,temperate Asia,,5,2,
Rhamnus,prinoides,Africa,,4,2,
Rhamnus,staddo,Africa,,2,2,
Rheedia,aristata,"Cuba, Brazil",,1,2,(Garcinia)
Rheum,australe,Nepal/Himalaya,,13,2,
Rheum,coreanum,"E Asia, Korea",,0,2,
Rheum,emodi,western Himalaya,,1,2,
Rheum,webbianum,western Himalaya,,10,2,
Rhodiola,elongata,Korea,,0,2,(Sedum)
Rhodiola,heterodonta,western Himalaya,,13,2,
Rhodiola,rosea,"Arctic regions of Europe, Asia and N America",,42,2,
Rhododendron,brachycarpum,Japan,,35,2,
Rhododendron,chrysanthum,E Asia,,5,2,
Rhoicissus,tridentata,tropical and S Africa,,2,2,
Rosa,arabica,Egypt,,3,2,
Roylea,cinerea,western Himalaya,,0,2,
Ruscus,aculeatus,Europe,,69,2,
Ruscus,spp.,Macronesia and W Europe,,n/a,2,
Salacia,oblonga,southern India,,1,2,
Salvadora,persica,tropical Africa to Asia,,9,2,
Salvia,officinalis,S Europe and Mediteranean,,68,2,
Sambucus,nigra,Eurasia,,74,2,
Saracca,indica,India,,14,2,
Sarcolaena,delphinensis,Madagascar,II,0,2,
Sarcophyte,sanguinea,E tropical and South Africa,,0,2,
Saruma,henryi,NW to SW China,II,10,2,
Sasa,coreana,Korea,,0,2,
Satureja,montana,S Europe,,51,2,
Sceletium,tortuosum,"Namibia, W and C S Africa",,0,2,(Phyllobolus)
Schizobasis,intricata,South Africa,,4,2,
Schlechterina,mitrostemmatoides,tropical E Africa,,0,2,
Scilla,natalensis,South Africa,,14,2,
Sclerocarya,birrea,tropical and S Africa,,8,2
Scutellaria,baicalensis,Siberia to Japan,,18,2
Scutia,myrtina,Africa,,4,2
Secamone,gerrardii,South Africa,,0,2
Securidaca,longipedunculata,tropical Africa,,4,2
Senna,didymobotrya,"tropical Africa, natur. Asia and America",,11,2
Senna,singueana,Africa,,6,2
Shorea,talura,Southern India,,2,2
Sideritis,spp.,N temperate Old World and Macronesia,,n/a,2
Silene,leucophylla,Egypt,,0,2
Siphonochilus,aethiopicus,South Africa,,3,2
Solanum,incanum,Africa,,3,2
Solanum,lyratum,E Asia,,2,2
Sorbus,sambucifolia,N hemisphere,,22,2
Stapelia,gigantea,South Africa,,32,2
Steganotaenia,araliacea,Ethiopia to S Africa,,3,2
Stellera,chamaejasme,"C Asia, Himalaya",,4,2
Stephania,cepharantha,Vietnam,,0,2
Strophanthus,hispidus,tropical Old World,,10,2
Strychnos,henningsii,Africa,,3,2
Tabebeuia,impetiginosa,N Mexico to Argentina,,0,2
Tamarindus,indica,origin tropical Africa,,50,2
Taxus,chinensis,S China to Malaysia,II,13,2
Taxus,cuspidata,E Asia,II,66,2
Teclea,simplicifolia,tropical Africa,,2,2
Telosma,procumbens,Vietnam,,0,2
Thalictrum,ichangense,Vietnam,,2,2
Thymus,quinquecostatus,E Asia,,5,2
Tilia,cordata,Europe,,62,2
Tragopogon,collinus,Israel,,0,2
Treculia,africana,tropical Africa,,8,2
Trichilia,emetica,Africa,,0,2
Tridactyle,bicaudata,South Africa,,8,2,
Tulbaghia,ludwigiana,South Africa,,5,2,
Turbina,oblongata,South Africa,,2,2,
Tylosema,fassoglensis,pantropical,,5,2,(syn: Bauhinia fassoglensis)
Urginea,altissima,South Africa,,0,2,(Drimia)
Urginea,delagoensis,South Africa,,0,2,
Usnea,barbata,South Africa,,0,2,
Utleria,salicifolia,southern India,,0,2,
Uvaria,scheffleri,Africa,,0,2,
Vaccinium,myrtillus,Europe,,44,2,
Valeriana,jatamansi,Asia,,2,2,
Valeriana,officinalis,Eurasia,,58,2,
Vateria,indica,southern India,,1,2,
Veronica,spp.,"Europe, Turkey, N America, Africa and Australia",,,2,
Vinca,spp.,Europe to N Africa and C Asia,,,2,
Viola,canescens,India,,0,2,
Viscum,album,"Europe, W Asia",,20,2
Vitex,rotundifolia,Indomalaysia,,13,2
Voacanga,africana,tropical Africa,,11,2
Warburgia,salutaris,southern Africa,,,2
Warburgia,ugandensis,E Africa,,1,2
Withania,somnifera,"Africa, Mediteranean to India",,26,2
Ximenia,americana,Africa,,3,2
Zanha,africana,E Africa,,0,2
Zanthoxyllum,gillettii,western Himalaya,,0,2
Zanthoxylum,armatum,A Asia,,0,2
Zanthoxylum,chalybeum,Africa,,0,2
Zanthoxylum,piperitum,E Asia,,0,2
Zanthoxylum,usambarense,Africa,,0,2
Zanthoxylum,xanthoxyloides,W Africa,,0,2
