Latest value(s),,Water resources: total renewable per capita (actual) (m3/inhab/yr),
Seychelles,,,
Sierra Leone,2010,27267,K
Singapore,2010,118,K
Slovakia,2010,9172,K
Slovenia,2010,15700,K
Solomon Islands,2010,83086,K
Somalia,2010,1575,K
South Africa,2010,997.3,K
Spain,2010,2420,K
Sri Lanka,2010,2531,K
Sudan and South Sudan,2010,1481,K
Suriname,2010,232381,K
Swaziland,2010,3803,K
Sweden,2010,18550,K
Switzerland,2010,6981,K
Syrian Arab Republic,2010,823.1,K
Tajikistan,2010,2323,K
Thailand,2010,6345,K
The former Yugoslav Republic of Macedonia,2010,3105,K
East Timor,2010,7309,K
Togo,2010,2439,K
Tokelau,,,
Tonga,,,
Trinidad and Tobago,2010,2864,K
Tunisia,2010,438.4,K
Turkey,2010,2936,K
Turkmenistan,2010,4903,K
Tuvalu,,,
Uganda,2010,1975,K
Ukraine,2010,3072,K
United Arab Emirates,2010,19.97,K
United Kingdom,2010,2361,K
United Republic of Tanzania,2010,2147,K
United States of America,2010,9888,K
Uruguay,2010,41259,K
Uzbekistan,2010,1837,K
Vanuatu,,,
Venezuela,2010,42547,K
Vietnam,2010,10064,K
Yemen,2010,87.31,K
Zambia,2010,8037,K
Zimbabwe,2010,1591,K
E - External data,,,
I - AQUASTAT estimate,,,
K - Aggregate data,,,
L - Modelled data,,,
(c) 2012 FAO of the UN,,,
The information contained in AQUASTAT is provided free of charge to all users. Please quote as follows:
FAO. 2012. AQUASTAT database - Food and Agriculture Organization of the United Nations (FAO). Website accessed on [28/06/2012 11:13]
