Order,Class,Family,Genus,Species,SpecCode,UsedforAquaculture
Scorpaeniformes,Actinopterygii,Sebastidae,Sebastes,inermis,4586,commercial
Scorpaeniformes,Actinopterygii,Sebastidae,Sebastes,schlegelii,6534,commercial
Scorpaeniformes,Actinopterygii,Sebastidae,Sebastiscus,marmoratus,4597,commercial
Scorpaeniformes,Actinopterygii,Synanceiidae,Inimicus,japonicus,6386,commercial
Syngnathiformes,Actinopterygii,Syngnathidae,Hippocampus,kuda,5955,commercial
Syngnathiformes,Actinopterygii,Syngnathidae,Hippocampus,trimaculatus,22816,commercial
Tetraodontiformes,Actinopterygii,Tetraodontidae,Takifugu,obscurus,24264,commercial
Tetraodontiformes,Actinopterygii,Tetraodontidae,Takifugu,rubripes,8198,commercial
Anguilliformes,Actinopterygii,Anguillidae,Anguilla,dieffenbachii,11878,experimental
Clupeiformes,Actinopterygii,Clupeidae,Ethmalosa,fimbriata,1594,experimental
Clupeiformes,Actinopterygii,Clupeidae,Tenualosa,ilisha,1596,experimental
Gadiformes,Actinopterygii,Gadidae,Melanogrammus,aeglefinus,1381,experimental
Gadiformes,Actinopterygii,Gadidae,Melanogrammus,aeglefinus,1381,experimental
Perciformes,Actinopterygii,Anarhichadidae,Anarhichas,lupus,2501,experimental
Perciformes,Actinopterygii,Coryphaenidae,Coryphaena,equiselis,7,experimental
Perciformes,Actinopterygii,Coryphaenidae,Coryphaena,equiselis,7,experimental
Perciformes,Actinopterygii,Lutjanidae,Lutjanus,argentiventris,1408,experimental
Perciformes,Actinopterygii,Polynemidae,Polydactylus,sexfilis,6416,experimental
Perciformes,Actinopterygii,Sciaenidae,Cynoscion,steindachneri,1177,experimental
Perciformes,Actinopterygii,Serranidae,Epinephelus,aeneus,426,experimental
Perciformes,Actinopterygii,Serranidae,Epinephelus,polyphekadion,6473,experimental
Perciformes,Actinopterygii,Serranidae,Epinephelus,trimaculatus,7368,experimental
Perciformes,Actinopterygii,Siganidae,Siganus,randalli,4626,experimental
Perciformes,Actinopterygii,Sillaginidae,Sillaginodes,punctatus,8489,experimental
Perciformes,Actinopterygii,Sillaginidae,Sillago,ciliata,4709,experimental
Perciformes,Actinopterygii,Sillaginidae,Sillago,maculata,7925,experimental
Perciformes,Actinopterygii,Sparidae,Chrysophrys,auratus,6426,experimental
Petromyzontiformes,Cephalaspidomorphi,Petromyzontidae,Caspiomyzon,wagneri,8718,experimental
Pleuronectiformes,Actinopterygii,Pleuronectidae,Hippoglossus,hippoglossus,1371,experimental
Pleuronectiformes,Actinopterygii,Pleuronectidae,Limanda,ferruginea,521,experimental
Pleuronectiformes,Actinopterygii,Pleuronectidae,Pseudopleuronectes,americanus,524,experimental
Pleuronectiformes,Actinopterygii,Pleuronectidae,Rhombosolea,tapirina,8889,experimental
Pleuronectiformes,Actinopterygii,Soleidae,Solea,senegalensis,8852,experimental
Salmoniformes,Actinopterygii,Salmonidae,Coregonus,albula,231,experimental
Salmoniformes,Actinopterygii,Salmonidae,Hucho,perryi,9182,experimental
Perciformes,Actinopterygii,Siganidae,Siganus,vermiculatus,4561,likely future use
Perciformes,Actinopterygii,Sillaginidae,Sillago,analis,8492,likely future use
Perciformes,Actinopterygii,Sillaginidae,Sillago,japonica,6576,likely future use
Perciformes,Actinopterygii,Sillaginidae,Sillago,parvisquamis,8534,likely future use
Perciformes,Actinopterygii,Sillaginidae,Sillago,schomburgkii,7972,likely future use
Perciformes,Actinopterygii,Sillaginidae,Sillago,vincenti,8319,likely future use
Perciformes,Actinopterygii,Terapontidae,Mesopristes,cancellatus,23487,likely future use
Scorpaeniformes,Actinopterygii,Anoplopomatidae,Anoplopoma,fimbria,512,likely future use
