"","Order","Family","Species","Occurrence","FishBase name","Name","Use","Use elsewhere","Country"
"31610","Perciformes","Istiophoridae","Tetrapturus pfluegeri","native","Longbill spearfish","","commercial","minor commercial","Mauritania"
"31710","Perciformes","Scombridae","Thunnus alalunga","native","Albacore","","commercial","highly commercial","Mauritania"
"31810","Perciformes","Scombridae","Thunnus albacares","native","Yellowfin tuna","Wockhandor","commercial","highly commercial","Mauritania"
"3194","Perciformes","Scombridae","Thunnus obesus","native","Bigeye tuna","Patudo","commercial","highly commercial","Mauritania"
"3202","Perciformes","Scombridae","Thunnus thynnus","native","Atlantic bluefin tuna","","commercial","commercial","Mauritania"
"32111","Perciformes","Cichlidae","Tilapia guineensis","questionable","Guinean tilapia","","commercial","commercial","Mauritania"
"32210","Perciformes","Cichlidae","Tilapia rendalli","questionable","Redbreast tilapia","","commercial","commercial","Mauritania"
"3235","Perciformes","Cichlidae","Tilapia zillii","native","Redbelly tilapia","","commercial","commercial","Mauritania"
"3242","Torpediniformes","Torpedinidae","Torpedo marmorata","native","Marbled electric ray","","commercial","of no interest","Mauritania"
"3252","Torpediniformes","Torpedinidae","Torpedo nobiliana","native","Electric ray","","commercial","of no interest","Mauritania"
"3262","Torpediniformes","Torpedinidae","Torpedo torpedo","native","Common torpedo","Meudj mbenjann","commercial","of no interest","Mauritania"
"3272","Perciformes","Carangidae","Trachinotus ovatus","native","Pompano","Liche glauque","commercial","minor commercial","Mauritania"
"3282","Perciformes","Trachinidae","Trachinus araneus","native","Spotted weever","","commercial","minor commercial","Mauritania"
"3292","Perciformes","Trachinidae","Trachinus armatus","native","Guinean weever","Mori","commercial","minor commercial","Mauritania"
"3302","Perciformes","Trachinidae","Trachinus draco","native","Greater weever","","commercial","minor commercial","Mauritania"
"33111","Perciformes","Trachinidae","Trachinus pellegrini","native","Cape Verde weever","","commercial","commercial","Mauritania"
"33210","Perciformes","Trachinidae","Trachinus radiatus","native","Starry weever","","commercial","commercial","Mauritania"
"3332","Lampriformes","Trachipteridae","Trachipterus trachypterus","native","Mediterranean dealfish","","commercial","minor commercial","Mauritania"
"3342","Perciformes","Carangidae","Trachurus mediterraneus","native","Mediterranean horse mackerel","","commercial","commercial","Mauritania"
"3352","Perciformes","Carangidae","Trachurus picturatus","native","Blue jack mackerel","","commercial","commercial","Mauritania"
"3362","Perciformes","Carangidae","Trachurus trachurus","native","Atlantic horse mackerel","Assatat","commercial","highly commercial","Mauritania"
"3372","Perciformes","Carangidae","Trachurus trecae","native","Cunene horse mackerel","","commercial","highly commercial","Mauritania"
"3382","Scorpaeniformes","Sebastidae","Trachyscorpia cristulata echinata","native","Spiny scorpionfish","","commercial","commercial","Mauritania"
"3392","Perciformes","Trichiuridae","Trichiurus lepturus","native","Largehead hairtail","Khauss","commercial","highly commercial","Mauritania"
"3402","Scorpaeniformes","Triglidae","Trigla lyra","native","Piper gurnard","","commercial","minor commercial","Mauritania"
"34111","Scorpaeniformes","Triglidae","Trigloporus lastoviza","native","Streaked gurnard","","commercial","commercial","Mauritania"
"3428","Beloniformes","Belonidae","Tylosurus crocodilus crocodilus","native","Hound needlefish","Sambasilett","commercial","commercial","Mauritania"
"3432","Perciformes","Sciaenidae","Umbrina canariensis","native","Canary drum","Kuy","commercial","commercial","Mauritania"
"3442","Perciformes","Sciaenidae","Umbrina cirrosa","native","Shi drum","","commercial","minor commercial","Mauritania"
"3452","Perciformes","Sciaenidae","Umbrina ronchus","native","Fusca drum","","commercial","commercial","Mauritania"
"3462","Perciformes","Sciaenidae","Umbrina steindachneri","native","Steindachner's drum","","commercial","commercial","Mauritania"
"3472","Perciformes","Uranoscopidae","Uranoscopus polli","native","Whitespotted stargazer","Buki getj","commercial","commercial","Mauritania"
"3482","Perciformes","Uranoscopidae","Uranoscopus scaber","native","Stargazer","","commercial","minor commercial","Mauritania"
"3492","Perciformes","Carangidae","Uraspis secunda","native","Cottonmouth jack","","commercial","minor commercial","Mauritania"
"3502","Pleuronectiformes","Soleidae","Vanstraelenia chirophthalma","questionable","African solenette","","commercial","commercial","Mauritania"
"35111","Perciformes","Xiphiidae","Xiphias gladius","native","Swordfish","Espadon","commercial","commercial","Mauritania"
"3527","Zeiformes","Zeidae","Zeus faber","native","John dory","Doré","commercial","commercial","Mauritania"
"2274","Perciformes","Carangidae","Carangoides fulvoguttatus","native","Yellowspotted trevally","Carangue la gueule pourrie","minor commercial","commercial","Mauritius"
"3195","Perciformes","Carangidae","Caranx ignobilis","native","Giant trevally","Carangue pièce noire","minor commercial","commercial","Mauritius"
"4164","Carcharhiniformes","Carcharhinidae","Carcharhinus amblyrhynchos","native","Blacktail reef shark","Requin blanc","minor commercial","minor commercial","Mauritius"
"5152","Perciformes","Labridae","Cheilinus chlorourus","native","Floral wrasse","Labre à tache rouge","commercial","minor commercial","Mauritius"
"6146","Perciformes","Scaridae","Chlorurus cyanescens","native","Blue humphead parrotfish","","commercial","commercial","Mauritius"
