"","Order","Family","Species","Occurrence","FishBase name","Name","Use","Use elsewhere","Country"
"1982","Perciformes","Carangidae","Decapterus russelli","native","Indian scad","Julung-julung","commercial","highly commercial","Indonesia"
"1992","Perciformes","Sciaenidae","Dendrophysa russelii","native","Goatee croaker","Lemah","minor commercial","minor commercial","Indonesia"
"2002","Beloniformes","Hemiramphidae","Dermogenys pusilla","native","Wrestling halfbeak","Julung-julung","commercial","minor commercial","Indonesia"
"20111","Perciformes","Haemulidae","Diagramma pictum","native","Painted sweetlips","Gajih","commercial","commercial","Indonesia"
"20211","Perciformes","Caesionidae","Dipterygonotus balteatus","native","Mottled fusilier","Bileh apui","minor commercial","minor commercial","Indonesia"
"2039","Perciformes","Drepaneidae","Drepane punctata","native","Spotted sicklefish","Ketang-ketang","commercial","commercial","Indonesia"
"2042","Clupeiformes","Clupeidae","Dussumieria acuta","native","Rainbow sardine","Japuh","commercial","highly commercial","Indonesia"
"2052","Clupeiformes","Clupeidae","Dussumieria elopsoides","native","Slender rainbow sardine","Tembang bines","minor commercial","minor commercial","Indonesia"
"2062","Anguilliformes","Muraenidae","Echidna nebulosa","native","Snowflake moray","Muria karang","subsistence fisheries","minor commercial","Indonesia"
"2072","Scorpaeniformes","Setarchidae","Ectreposebastes imus","native","Midwater scorpionfish","","minor commercial","minor commercial","Indonesia"
"2082","Perciformes","Carangidae","Elagatis bipinnulata","native","Rainbow runner","Cumok","commercial","highly commercial","Indonesia"
"2092","Perciformes","Polynemidae","Eleutheronema tetradactylum","native","Fourfinger threadfin","Kurau","commercial","highly commercial","Indonesia"
"21011","Elopiformes","Elopidae","Elops machnata","native","Tenpounder","","commercial","commercial","Indonesia"
"21111","Clupeiformes","Engraulidae","Encrasicholina devisi","native","Devis' anchovy","","minor commercial","minor commercial","Indonesia"
"21211","Clupeiformes","Engraulidae","Encrasicholina heteroloba","native","Shorthead anchovy","Kenaren","minor commercial","minor commercial","Indonesia"
"21311","Clupeiformes","Engraulidae","Encrasicholina punctifer","native","Buccaneer anchovy","","minor commercial","minor commercial","Indonesia"
"21411","Clupeiformes","Engraulidae","Engraulis japonicus","native","Japanese anchovy","Ikan putih","highly commercial","highly commercial","Indonesia"
"21511","Pleuronectiformes","Bothidae","Engyprosopon grandisquama","native","Largescale flounder","","commercial","commercial","Indonesia"
"21611","Perciformes","Ephippidae","Ephippus orbis","native","Orbfish","Gandu","commercial","commercial","Indonesia"
"21711","Perciformes","Serranidae","Epinephelus amblycephalus","native","Banded grouper","","minor commercial","minor commercial","Indonesia"
"21810","Perciformes","Serranidae","Epinephelus areolatus","native","Areolate grouper","Gerape bandi","commercial","commercial","Indonesia"
"2192","Perciformes","Serranidae","Epinephelus bleekeri","native","Duskytail grouper","Babunjai","minor commercial","minor commercial","Indonesia"
"2202","Perciformes","Serranidae","Epinephelus coeruleopunctatus","native","Whitespotted grouper","Geurape karet","minor commercial","minor commercial","Indonesia"
"22111","Perciformes","Serranidae","Epinephelus coioides","native","Orange-spotted grouper","Geurape kuneng","commercial","commercial","Indonesia"
"22211","Perciformes","Serranidae","Epinephelus corallicola","native","Coral grouper","Kerapu belosoh","subsistence fisheries","subsistence fisheries","Indonesia"
"2234","Perciformes","Serranidae","Epinephelus cyanopodus","native","Speckled blue grouper","Purple rock cod","minor commercial","minor commercial","Indonesia"
"2242","Perciformes","Serranidae","Epinephelus epistictus","native","Dotted grouper","","minor commercial","minor commercial","Indonesia"
"2252","Perciformes","Serranidae","Epinephelus erythrurus","native","Cloudy grouper","Cloudy rock cod","minor commercial","minor commercial","Indonesia"
"2262","Perciformes","Serranidae","Epinephelus fasciatus","native","Blacktip grouper","Geurape bungong kala","commercial","commercial","Indonesia"
"2272","Perciformes","Serranidae","Epinephelus faveatus","native","Barred-chest grouper","","commercial","commercial","Indonesia"
"2282","Perciformes","Serranidae","Epinephelus flavocaeruleus","native","Blue-and-yellow grouper","Geurape kuneng","commercial","commercial","Indonesia"
"2292","Perciformes","Serranidae","Epinephelus fuscoguttatus","native","Brown-marbled grouper","Kerapu macan","minor commercial","minor commercial","Indonesia"
"2302","Perciformes","Serranidae","Epinephelus heniochus","native","Bridled grouper","","commercial","commercial","Indonesia"
"23111","Perciformes","Serranidae","Epinephelus lanceolatus","native","Giant grouper","Kerapu lumpur","subsistence fisheries","subsistence fisheries","Indonesia"
"23211","Perciformes","Serranidae","Epinephelus longispinis","native","Longspine grouper","Long-spine rock cod","commercial","commercial","Indonesia"
"2332","Perciformes","Serranidae","Epinephelus macrospilos","native","Snubnose grouper","Snubnose rock cod","commercial","commercial","Indonesia"
"2342","Perciformes","Serranidae","Epinephelus maculatus","native","Highfin grouper","Marbled rock cod","minor commercial","minor commercial","Indonesia"
"2352","Perciformes","Serranidae","Epinephelus malabaricus","native","Malabar grouper","Kerapu lumpar","highly commercial","highly commercial","Indonesia"
"2362","Perciformes","Serranidae","Epinephelus melanostigma","native","One-blotch grouper","Black-spot grouper","subsistence fisheries","subsistence fisheries","Indonesia"
"2372","Perciformes","Serranidae","Epinephelus merra","native","Honeycomb grouper","Geurape musang","commercial","commercial","Indonesia"
"2382","Perciformes","Serranidae","Epinephelus miliaris","native","Netfin grouper","","minor commercial","minor commercial","Indonesia"
"2392","Perciformes","Serranidae","Epinephelus morrhua","native","Comet grouper","","minor commercial","minor commercial","Indonesia"
"2402","Perciformes","Serranidae","Epinephelus ongus","native","White-streaked grouper","White-speckled rock cod","minor commercial","minor commercial","Indonesia"
"24111","Perciformes","Serranidae","Epinephelus polyphekadion","native","Camouflage grouper","Flowery grouper","commercial","commercial","Indonesia"
"24210","Perciformes","Serranidae","Epinephelus polystigma","native","White-dotted grouper","","subsistence fisheries","subsistence fisheries","Indonesia"
"2432","Perciformes","Serranidae","Epinephelus quoyanus","native","Longfin grouper","Kerapu tutul","commercial","commercial","Indonesia"
"2442","Perciformes","Serranidae","Epinephelus retouti","native","Red-tipped grouper","","subsistence fisheries","subsistence fisheries","Indonesia"
"2452","Perciformes","Serranidae","Epinephelus rivulatus","native","Halfmoon grouper","","minor commercial","minor commercial","Indonesia"
"2462","Perciformes","Serranidae","Epinephelus sexfasciatus","native","Sixbar grouper","Barong putih","commercial","commercial","Indonesia"
"2472","Perciformes","Serranidae","Epinephelus spilotoceps","native","Foursaddle grouper","","commercial","commercial","Indonesia"
"2482","Perciformes","Serranidae","Epinephelus stictus","native","Black-dotted grouper","","minor commercial","minor commercial","Indonesia"
"2492","Perciformes","Serranidae","Epinephelus undulosus","native","Wavy-lined grouper","Wavy-lined rock cod","minor commercial","minor commercial","Indonesia"
"2502","Perciformes","Leiognathidae","Equulites leuciscus","native","Whipfin ponyfish","Highfin ponyfish","minor commercial","commercial","Indonesia"
"25111","Clupeiformes","Clupeidae","Escualosa thoracata","native","White sardine","Cancang","commercial","commercial","Indonesia"
"25210","Perciformes","Lutjanidae","Etelis carbunculus","native","Deep-water red snapper","","highly commercial","highly commercial","Indonesia"
"2532","Perciformes","Lutjanidae","Etelis coruscans","native","Deepwater longtail red snapper","","highly commercial","highly commercial","Indonesia"
"2542","Perciformes","Lutjanidae","Etelis radiosus","native","Pale snapper","","minor commercial","minor commercial","Indonesia"
"2552","Perciformes","Leiognathidae","Eubleekeria splendens","native","Splendid ponyfish","Bondol","commercial","commercial","Indonesia"
"2562","Perciformes","Trichiuridae","Eupleurogrammus glossodon","native","Longtooth hairtail","","commercial","commercial","Indonesia"
"2572","Perciformes","Trichiuridae","Eupleurogrammus muticus","native","Smallhead hairtail","Jogor","commercial","commercial","Indonesia"
"2582","Carcharhiniformes","Sphyrnidae","Eusphyra blochii","native","Winghead shark","Cucutronggeng","commercial","commercial","Indonesia"
"2592","Perciformes","Scombridae","Euthynnus affinis","native","Kawakawa","Timphik","highly commercial","highly commercial","Indonesia"
"2601","Perciformes","Sparidae","Evynnis tumifrons","native","Yellowback seabream","","commercial","commercial","Indonesia"
"26110","Carcharhiniformes","Carcharhinidae","Galeocerdo cuvier","native","Tiger shark","Cucut macan","commercial","commercial","Indonesia"
"2628","Perciformes","Leiognathidae","Gazza achlamys","native","Smalltoothed ponyfish","","commercial","minor commercial","Indonesia"
"2631","Perciformes","Leiognathidae","Gazza minuta","native","Toothpony","Peperek bondolan","commercial","commercial","Indonesia"
"2641","Perciformes","Gempylidae","Gempylus serpens","native","Snake mackerel","","subsistence fisheries","minor commercial","Indonesia"
"2651","Perciformes","Gerreidae","Gerres filamentosus","native","Whipfin silver-biddy","Kapas besar","minor commercial","minor commercial","Indonesia"
"2661","Perciformes","Gerreidae","Gerres oyena","native","Common silver-biddy","Kapasan","commercial","commercial","Indonesia"
"2671","Perciformes","Carangidae","Gnathanodon speciosus","native","Golden trevally","Pidana","minor commercial","minor commercial","Indonesia"
"2681","Perciformes","Lethrinidae","Gnathodentex aureolineatus","native","Striped large-eye bream","Gold-spot emperor","commercial","commercial","Indonesia"
"2691","Perciformes","Serranidae","Gracila albomarginata","native","Masked grouper","White-square cod","minor commercial","minor commercial","Indonesia"
"2701","Perciformes","Scombridae","Grammatorcynus bilineatus","native","Double-lined mackerel","Shark mackerel","minor commercial","minor commercial","Indonesia"
"27110","Scorpaeniformes","Platycephalidae","Grammoplites scaber","native","Rough flathead","Muntu kerkau","minor commercial","minor commercial","Indonesia"
"2728","Perciformes","Caesionidae","Gymnocaesio gymnoptera","native","Slender fusilier","Slender fusilier","minor commercial","minor commercial","Indonesia"
"2731","Perciformes","Lethrinidae","Gymnocranius elongatus","native","Forktail large-eye bream","","minor commercial","minor commercial","Indonesia"
"2741","Perciformes","Lethrinidae","Gymnocranius frenatus","native","Yellowsnout large-eye bream","","commercial","commercial","Indonesia"
"2751","Perciformes","Lethrinidae","Gymnocranius griseus","native","Grey large-eye bream","Kapas-kapas laut","commercial","commercial","Indonesia"
"2761","Perciformes","Lethrinidae","Gymnocranius microdon","native","Blue-spotted large-eye bream","Blue-spotted large-eye bream","minor commercial","minor commercial","Indonesia"
"2771","Perciformes","Scombridae","Gymnosarda unicolor","native","Dogtooth tuna","Opu","minor commercial","minor commercial","Indonesia"
"2781","Cypriniformes","Cyprinidae","Hampala macrolepidota","native","Hampala barb","Hampal","commercial","commercial","Indonesia"
"2791","Aulopiformes","Synodontidae","Harpadon nehereus","native","Bombay-duck","Acang-acang","commercial","highly commercial","Indonesia"
"2801","Perciformes","Helostomatidae","Helostoma temminkii","native","Kissing gourami","Bawan","commercial","highly commercial","Indonesia"
"28110","Siluriformes","Bagridae","Hemibagrus nemurus","native","Asian redtail catfish","Baung putih","commercial","commercial","Indonesia"
"2827","Siluriformes","Bagridae","Hemibagrus wyckii","native","","Baung burai","commercial","commercial","Indonesia"
"2831","Hexanchiformes","Hexanchidae","Heptranchias perlo","native","Sharpnose sevengill shark","Cucut kapukan","minor commercial","minor commercial","Indonesia"
"2841","Clupeiformes","Clupeidae","Herklotsichthys dispilonotus","native","Blacksaddle herring","","subsistence fisheries","subsistence fisheries","Indonesia"
"2851","Clupeiformes","Clupeidae","Herklotsichthys gotoi","native","Goto's herring","","subsistence fisheries","subsistence fisheries","Indonesia"
"2861","Clupeiformes","Clupeidae","Herklotsichthys quadrimaculatus","native","Bluestripe herring","Budueng","minor commercial","minor commercial","Indonesia"
"2871","Perciformes","Priacanthidae","Heteropriacanthus cruentatus","native","Glasseye","Blotched bigeye","minor commercial","minor commercial","Indonesia"
"2881","Hexanchiformes","Hexanchidae","Hexanchus griseus","native","Bluntnose sixgill shark","Cucut meong","minor commercial","commercial","Indonesia"
"2891","Siluriformes","Ariidae","Hexanematichthys sagor","native","Sagor catfish","Kedukan","commercial","commercial","Indonesia"
"2901","Clupeiformes","Clupeidae","Hilsa kelee","native","Kelee shad","Mata belo","commercial","highly commercial","Indonesia"
"29110","Rajiformes","Dasyatidae","Himantura bleekeri","native","Bleeker's whipray","","commercial","commercial","Indonesia"
"2926","Rajiformes","Dasyatidae","Himantura jenkinsii","native","Jenkins whipray","Pari aer","commercial","commercial","Indonesia"
"2931","Beloniformes","Exocoetidae","Hirundichthys oxycephalus","native","Bony flyingfish","","minor commercial","minor commercial","Indonesia"
"2941","Perciformes","Pentacerotidae","Histiopterus typus","native","Sailfin armourhead","","commercial","commercial","Indonesia"
"2951","Cypriniformes","Cyprinidae","Hypophthalmichthys nobilis","introduced","Bighead carp","","highly commercial","highly commercial","Indonesia"
"2961","Clupeiformes","Pristigasteridae","Ilisha elongata","native","Elongate ilisha","Gemprang","commercial","highly commercial","Indonesia"
"2971","Clupeiformes","Pristigasteridae","Ilisha filigera","native","Coromandel ilisha","Mata lebar","subsistence fisheries","subsistence fisheries","Indonesia"
"2981","Clupeiformes","Pristigasteridae","Ilisha kampeni","native","Kampen's ilisha","Mata lebar","minor commercial","minor commercial","Indonesia"
"2991","Clupeiformes","Pristigasteridae","Ilisha megaloptera","native","Bigeye ilisha","Belia mata","commercial","commercial","Indonesia"
"300","Clupeiformes","Pristigasteridae","Ilisha melastoma","native","Indian ilisha","Mata lebar","minor commercial","minor commercial","Indonesia"
"30110","Clupeiformes","Pristigasteridae","Ilisha sirishai","native","Lobejaw ilisha","","subsistence fisheries","subsistence fisheries","Indonesia"
"3024","Perciformes","Istiophoridae","Istiompax indica","native","Black marlin","","commercial","commercial","Indonesia"
"3031","Perciformes","Istiophoridae","Istiophorus platypterus","native","Indo-Pacific sailfish","Geulang pajang","commercial","commercial","Indonesia"
"3041","Lamniformes","Lamnidae","Isurus oxyrinchus","native","Shortfin mako","Hiu anjing","minor commercial","minor commercial","Indonesia"
"3051","Perciformes","Sciaenidae","Johnius amblycephalus","native","Bearded croaker","Gelama papan","commercial","minor commercial","Indonesia"
"3061","Perciformes","Sciaenidae","Johnius borneensis","native","Sharpnose hammer croaker","","commercial","minor commercial","Indonesia"
"3071","Perciformes","Sciaenidae","Johnius coitor","native","Coitor croaker","","minor commercial","minor commercial","Indonesia"
"3081","Perciformes","Sciaenidae","Johnius macropterus","native","Largefin croaker","","commercial","commercial","Indonesia"
"3091","Perciformes","Sciaenidae","Johnius trachycephalus","native","Leaftail croaker","","commercial","minor commercial","Indonesia"
"31010","Perciformes","Istiophoridae","Kajikia audax","native","Striped marlin","","commercial","commercial","Indonesia"
"31110","Perciformes","Scombridae","Katsuwonus pelamis","native","Skipjack tuna","Ame-ame","highly commercial","highly commercial","Indonesia"
"31210","Siluriformes","Siluridae","Kryptopterus bicirrhis","native","Glass catfish","Lais limpok","commercial","commercial","Indonesia"
"31310","Siluriformes","Siluridae","Kryptopterus macrocephalus","native","Striped glass catfish","Lais","commercial","commercial","Indonesia"
"31410","Perciformes","Kuhliidae","Kuhlia mugil","native","Barred flagtail","Brajanata mugil","commercial","minor commercial","Indonesia"
"3155","Perciformes","Kuhliidae","Kuhlia rupestris","native","Rock flagtail","","commercial","commercial","Indonesia"
"3161","Perciformes","Kurtidae","Kurtus indicus","native","Indian hump head","Cinta madu","commercial","minor commercial","Indonesia"
"3171","Cypriniformes","Cyprinidae","Labeo chrysophekadion","native","Black sharkminnow","Ikan arang","commercial","commercial","Indonesia"
"3181","Perciformes","Lactariidae","Lactarius lactarius","native","False trevally","Ikan susu","commercial","commercial","Indonesia"
"3191","Carcharhiniformes","Carcharhinidae","Lamiopsis temminckii","native","Broadfin shark","Hiu bujit","commercial","commercial","Indonesia"
"3201","Perciformes","Latidae","Lates calcarifer","native","Barramundi","Kakap","commercial","highly commercial","Indonesia"
"32110","Perciformes","Leiognathidae","Leiognathus dussumieri","native","Dussumier's ponyfish","Bete-bete","commercial","commercial","Indonesia"
"3228","Perciformes","Leiognathidae","Leiognathus equulus","native","Common ponyfish","Peperek topang","commercial","minor commercial","Indonesia"
"3231","Perciformes","Leiognathidae","Leiognathus fasciatus","native","Striped ponyfish","Peperek","commercial","minor commercial","Indonesia"
"3241","Perciformes","Gempylidae","Lepidocybium flavobrunneum","native","Escolar","","subsistence fisheries","minor commercial","Indonesia"
"3251","Cypriniformes","Cyprinidae","Leptobarbus hoevenii","native","Hoven's carp","Jelawat","commercial","commercial","Indonesia"
"3261","Cypriniformes","Cyprinidae","Leptobarbus melanopterus","native","","Bundung","commercial","commercial","Indonesia"
"3271","Perciformes","Scaridae","Leptoscarus vaigiensis","native","Marbled parrotfish","Lama","commercial","commercial","Indonesia"
"3281","Perciformes","Trichiuridae","Lepturacanthus savala","native","Savalai hairtail","Cualee","commercial","commercial","Indonesia"
"3291","Perciformes","Lethrinidae","Lethrinus amboinensis","native","Ambon emperor","","minor commercial","minor commercial","Indonesia"
"3301","Perciformes","Lethrinidae","Lethrinus atkinsoni","native","Pacific yellowtail emperor","Sky emperor","minor commercial","minor commercial","Indonesia"
"33110","Perciformes","Lethrinidae","Lethrinus conchyliatus","native","Redaxil emperor","","commercial","commercial","Indonesia"
"3324","Perciformes","Lethrinidae","Lethrinus erythracanthus","native","Orange-spotted emperor","Orange-finned emperor","commercial","commercial","Indonesia"
"3331","Perciformes","Lethrinidae","Lethrinus erythropterus","native","Longfin emperor","Ketamba","minor commercial","minor commercial","Indonesia"
"3341","Perciformes","Lethrinidae","Lethrinus genivittatus","native","Longspine emperor","","minor commercial","minor commercial","Indonesia"
"3351","Perciformes","Lethrinidae","Lethrinus harak","native","Thumbprint emperor","Black-blotch emperor","commercial","commercial","Indonesia"
"3361","Perciformes","Lethrinidae","Lethrinus laticaudis","native","Grass emperor","","commercial","commercial","Indonesia"
"3371","Perciformes","Lethrinidae","Lethrinus lentjan","native","Pink ear emperor","Red-spot emperor","highly commercial","highly commercial","Indonesia"
"3381","Perciformes","Lethrinidae","Lethrinus microdon","native","Smalltooth emperor","Small-tooth emperor","commercial","commercial","Indonesia"
"3391","Perciformes","Lethrinidae","Lethrinus nebulosus","native","Spangled emperor","Lencam","highly commercial","highly commercial","Indonesia"
"3401","Perciformes","Lethrinidae","Lethrinus obsoletus","native","Orange-striped emperor","Orange-stripe emperor","minor commercial","minor commercial","Indonesia"
"34110","Perciformes","Lethrinidae","Lethrinus olivaceus","native","Longface emperor","Long-nosed emperor","commercial","commercial","Indonesia"
"3422","Perciformes","Lethrinidae","Lethrinus ornatus","native","Ornate emperor","Sikuda","minor commercial","minor commercial","Indonesia"
"3431","Perciformes","Lethrinidae","Lethrinus reticulatus","native","Red snout emperor","","minor commercial","minor commercial","Indonesia"
"3441","Perciformes","Lethrinidae","Lethrinus rubrioperculatus","native","Spotcheek emperor","","highly commercial","highly commercial","Indonesia"
"3451","Perciformes","Lethrinidae","Lethrinus semicinctus","native","Black blotch emperor","Yellow-head emperor","minor commercial","minor commercial","Indonesia"
"3461","Perciformes","Lethrinidae","Lethrinus variegatus","native","Slender emperor","Slender emperor","minor commercial","minor commercial","Indonesia"
"3471","Perciformes","Lethrinidae","Lethrinus xanthochilus","native","Yellowlip emperor","Ikan pit","commercial","commercial","Indonesia"
"3481","Perciformes","Lutjanidae","Lipocheilus carnolabrum","native","Tang's snapper","","commercial","commercial","Indonesia"
"3491","Mugiliformes","Mugilidae","Liza subviridis","native","Greenback mullet","Belanak","minor commercial","commercial","Indonesia"
"3501","Perciformes","Lobotidae","Lobotes surinamensis","native","Tripletail","Kakap bate","commercial","commercial","Indonesia"
"35110","Carcharhiniformes","Carcharhinidae","Loxodon macrorhinus","native","Sliteye shark","Cucut pisang","commercial","commercial","Indonesia"
"3521","Perciformes","Lutjanidae","Lutjanus argentimaculatus","native","Mangrove red snapper","Ganggrang eca","commercial","commercial","Indonesia"
"3531","Perciformes","Lutjanidae","Lutjanus bengalensis","native","Bengal snapper","Bengal snapper","commercial","commercial","Indonesia"
"3541","Perciformes","Lutjanidae","Lutjanus biguttatus","native","Two-spot banded snapper","Tanda-tanda pasir","commercial","commercial","Indonesia"
"3551","Perciformes","Lutjanidae","Lutjanus bitaeniatus","native","Indonesian snapper","","commercial","commercial","Indonesia"
"3561","Perciformes","Lutjanidae","Lutjanus bohar","native","Two-spot red snapper","Jareung gigo","commercial","commercial","Indonesia"
"3571","Perciformes","Lutjanidae","Lutjanus boutton","native","Moluccan snapper","Moluccen snapper","minor commercial","minor commercial","Indonesia"
"3581","Perciformes","Lutjanidae","Lutjanus carponotatus","native","Spanish flag snapper","Spanish-flag snapper","subsistence fisheries","minor commercial","Indonesia"
"3591","Perciformes","Lutjanidae","Lutjanus decussatus","native","Checkered snapper","Tanda-tanda batu","commercial","commercial","Indonesia"
"3601","Perciformes","Lutjanidae","Lutjanus dodecacanthoides","native","Sunbeam snapper","","minor commercial","minor commercial","Indonesia"
"3619","Perciformes","Lutjanidae","Lutjanus ehrenbergii","native","Blackspot snapper","","minor commercial","minor commercial","Indonesia"
"3621","Perciformes","Lutjanidae","Lutjanus erythropterus","native","Crimson snapper","Bambangan","commercial","commercial","Indonesia"
"3631","Perciformes","Lutjanidae","Lutjanus fulviflamma","native","Dory snapper","Ikan tanda","commercial","commercial","Indonesia"
"3641","Perciformes","Lutjanidae","Lutjanus fulvus","native","Blacktail snapper","Tambak","commercial","commercial","Indonesia"
"3651","Perciformes","Lutjanidae","Lutjanus gibbus","native","Humpback red snapper","Jenaha","commercial","commercial","Indonesia"
"3661","Perciformes","Lutjanidae","Lutjanus johnii","native","John's snapper","Tambangan","commercial","commercial","Indonesia"
"3671","Perciformes","Lutjanidae","Lutjanus kasmira","native","Common bluestripe snapper","Gorara tikus","commercial","commercial","Indonesia"
"3681","Perciformes","Lutjanidae","Lutjanus lemniscatus","native","Yellowstreaked snapper","Cablikan","commercial","commercial","Indonesia"
"3691","Perciformes","Lutjanidae","Lutjanus lunulatus","native","Lunartail snapper","Tutong iku","minor commercial","minor commercial","Indonesia"
"3701","Perciformes","Lutjanidae","Lutjanus lutjanus","native","Bigeye snapper","Gorara gigi anjing","highly commercial","highly commercial","Indonesia"
"3719","Perciformes","Lutjanidae","Lutjanus madras","native","Indian snapper","Indian snapper","commercial","commercial","Indonesia"
"3721","Perciformes","Lutjanidae","Lutjanus malabaricus","native","Malabar blood snapper","Malabar snapper","highly commercial","highly commercial","Indonesia"
"3731","Perciformes","Lutjanidae","Lutjanus mizenkoi","native","Samoan snapper","Golden snapper","minor commercial","minor commercial","Indonesia"
"3741","Perciformes","Lutjanidae","Lutjanus monostigma","native","One-spot snapper","Kelalah","commercial","commercial","Indonesia"
"3751","Perciformes","Lutjanidae","Lutjanus quinquelineatus","native","Five-lined snapper","Five-line snapper","commercial","commercial","Indonesia"
"3761","Perciformes","Lutjanidae","Lutjanus rivulatus","native","Blubberlip snapper","Gaga","commercial","commercial","Indonesia"
"3771","Perciformes","Lutjanidae","Lutjanus russellii","native","Russell's snapper","Gorara","commercial","commercial","Indonesia"
"3781","Perciformes","Lutjanidae","Lutjanus sebae","native","Emperor red snapper","Bambangan","commercial","commercial","Indonesia"
"3791","Perciformes","Lutjanidae","Lutjanus semicinctus","native","Black-banded snapper","Half-barred snapper","minor commercial","minor commercial","Indonesia"
"3801","Perciformes","Lutjanidae","Lutjanus timoriensis","native","Timor snapper","Timor snapper","minor commercial","minor commercial","Indonesia"
"3819","Perciformes","Lutjanidae","Lutjanus vitta","native","Brownstripe red snapper","Mala","commercial","commercial","Indonesia"
"3821","Perciformes","Lutjanidae","Macolor macularis","native","Midnight snapper","Midnight snapper","commercial","commercial","Indonesia"
"3831","Perciformes","Lutjanidae","Macolor niger","native","Black and white snapper","Kompele terbang","commercial","commercial","Indonesia"
"3841","Cypriniformes","Cyprinidae","Macrochirichthys macrochirus","native","Long pectoral-fin minnow","Timah-timah","commercial","commercial","Indonesia"
"3851","Synbranchiformes","Mastacembelidae","Macrognathus zebrinus","questionable","Zebra spiny eel","","minor commercial","minor commercial","Indonesia"
"3861","Perciformes","Istiophoridae","Makaira mazara","native","Indo-Pacific blue marlin","","commercial","commercial","Indonesia"
"3871","Gadiformes","Macrouridae","Malacocephalus laevis","native","Softhead grenadier","","minor commercial","minor commercial","Indonesia"
"3881","Atheriniformes","Telmatherinidae","Marosatherina ladigesi","endemic","Celebes rainbowfish","","commercial","of no interest","Indonesia"
"3891","Stomiiformes","Sternoptychidae","Maurolicus muelleri","native","Silvery lightfish","","commercial","minor commercial","Indonesia"
"3901","Perciformes","Carangidae","Megalaspis cordyla","native","Torpedo scad","Selar tengkek","commercial","highly commercial","Indonesia"
"3917","Elopiformes","Megalopidae","Megalops cyprinoides","native","Indo-Pacific tarpon","Bulan-bulan","minor commercial","minor commercial","Indonesia"
"3921","Perciformes","Menidae","Mene maculata","native","Moonfish","Kekek jawa","commercial","commercial","Indonesia"
"3931","Scorpaeniformes","Synanceiidae","Minous monodactylus","native","Grey stingfish","","minor commercial","minor commercial","Indonesia"
"3941","Tetraodontiformes","Molidae","Mola mola","native","Ocean sunfish","Ocean sunfish","minor commercial","minor commercial","Indonesia"
"3951","Synbranchiformes","Synbranchidae","Monopterus albus","native","Asian swamp eel","Belut","minor commercial","commercial","Indonesia"
"3961","Perciformes","Lethrinidae","Monotaxis grandoculis","native","Humpnose big-eye bream","Large-eye bream","commercial","commercial","Indonesia"
"3971","Perciformes","Mullidae","Mulloidichthys flavolineatus","native","Yellowstripe goatfish","Square-spot goatfish","commercial","commercial","Indonesia"
"3981","Anguilliformes","Muraenesocidae","Muraenesox bagio","native","Common pike conger","","commercial","commercial","Indonesia"
"3991","Anguilliformes","Muraenesocidae","Muraenesox cinereus","native","Daggertooth pike conger","Pucuk nipah","commercial","highly commercial","Indonesia"
"400","Siluriformes","Bagridae","Mystus gulio","native","Long whiskers catfish","Lundu","commercial","commercial","Indonesia"
"4015","Siluriformes","Bagridae","Mystus nigriceps","native","Twospot catfish","","commercial","commercial","Indonesia"
"4021","Perciformes","Acanthuridae","Naso hexacanthus","native","Sleek unicornfish","Sleek unicorn","commercial","commercial","Indonesia"
"4031","Perciformes","Carangidae","Naucrates ductor","native","Pilotfish","","minor commercial","minor commercial","Indonesia"
"4041","Orectolobiformes","Ginglymostomatidae","Nebrius ferrugineus","native","Tawny nurse shark","Cucut buta","commercial","commercial","Indonesia"
"4051","Carcharhiniformes","Carcharhinidae","Negaprion acutidens","native","Sicklefin lemon shark","Tidak ada","commercial","commercial","Indonesia"
"4061","Siluriformes","Ariidae","Nemapteryx caelata","native","Engraved catfish","Duri kerak","commercial","commercial","Indonesia"
"4071","Clupeiformes","Clupeidae","Nematalosa come","native","Western Pacific gizzard shad","","subsistence fisheries","subsistence fisheries","Indonesia"
"4081","Clupeiformes","Clupeidae","Nematalosa erebi","native","Australian river gizzard shad","","subsistence fisheries","commercial","Indonesia"
"4091","Perciformes","Nemipteridae","Nemipterus balinensis","endemic","Balinese threadfin bream","Balinese threadfin","subsistence fisheries","subsistence fisheries","Indonesia"
"41010","Perciformes","Nemipteridae","Nemipterus balinensoides","native","Dwarf threadfin bream","Dwarf threadfin","subsistence fisheries","subsistence fisheries","Indonesia"
"41110","Perciformes","Nemipteridae","Nemipterus bathybius","native","Yellowbelly threadfin bream","","commercial","commercial","Indonesia"
"41210","Perciformes","Nemipteridae","Nemipterus bipunctatus","native","Delagoa threadfin bream","","minor commercial","minor commercial","Indonesia"
"4135","Perciformes","Nemipteridae","Nemipterus celebicus","native","Celebes threadfin bream","Cuih","minor commercial","minor commercial","Indonesia"
"4141","Perciformes","Nemipteridae","Nemipterus furcosus","native","Fork-tailed threadfin bream","Gurisi","commercial","commercial","Indonesia"
"4151","Perciformes","Nemipteridae","Nemipterus gracilis","endemic","Graceful threadfin bream","Juka eja","minor commercial","minor commercial","Indonesia"
"4161","Perciformes","Nemipteridae","Nemipterus hexodon","native","Ornate threadfin bream","Kambayan","minor commercial","minor commercial","Indonesia"
"4171","Perciformes","Nemipteridae","Nemipterus isacanthus","native","Teardrop threadfin bream","","minor commercial","minor commercial","Indonesia"
