id,group,order,family,genus,binomial,english,domesticated species,notes,Source
61,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis canicollis,Chaco Chachalaca,,,McGowan 2010
62,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis cinereiceps,"Gray-headed Chachalaca, Grey-headed Chachalaca",,,McGowan 2010
63,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis columbiana,Colombian Chachalaca,,,McGowan 2010
64,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis erythroptera,"Rufous-headed Chachalaca, Rufous Headed Chachalaca",,,McGowan 2010
65,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis garrula,Chestnut-winged Chachalaca,,,McGowan 2010
66,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis guttata,Speckled Chachalaca,,,McGowan 2010
67,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis leucogastra,White-bellied Chachalaca,,,McGowan 2010
68,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis motmot,"Little Chachalaca, Variable Chachalaca",,,McGowan 2010
69,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis poliocephala,West Mexican Chachalaca,,,McGowan 2010
70,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis ruficauda,Rufous-vented Chachalaca,,,McGowan 2010
71,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis superciliaris,Buff-browed Chachalaca,,,McGowan 2010
72,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis vetula,Plain Chachalaca,,,McGowan 2010
73,Birds,GALLIFORMES,CRACIDAE,Ortalis,Ortalis wagleri,Rufous-bellied Chachalaca,,,McGowan 2010
74,Birds,GALLIFORMES,CRACIDAE,Pauxi,Pauxi pauxi,"Helmeted Curassow, Northern Helmeted Curassow",,,McGowan 2010
75,Birds,GALLIFORMES,CRACIDAE,Pauxi,Pauxi unicornis,"Horned Curassow, Southern Helmeted Curassow",,,McGowan 2010
76,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope albipennis,White-winged Guan,,,McGowan 2010
77,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope argyrotis,Band-tailed Guan,,,McGowan 2010
78,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope barbata,Bearded Guan,,,McGowan 2010
79,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope dabbenei,Red-faced Guan,,,McGowan 2010
80,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope jacquacu,Spix's Guan,,,McGowan 2010
81,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope jacucaca,White-browed Guan,,,McGowan 2010
82,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope marail,Marail Guan,,,McGowan 2010
83,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope montagnii,Andean Guan,,,McGowan 2010
84,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope obscura,Dusky-legged Guan,,,McGowan 2010
85,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope ochrogaster,Chestnut-bellied Guan,,,McGowan 2010
86,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope ortoni,"Baudo Guan, Baudï¿½ Guan",,,McGowan 2010
87,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope perspicax,Cauca Guan,,,McGowan 2010
88,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope pileata,White-crested Guan,,,McGowan 2010
89,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope purpurascens,Crested Guan,,,McGowan 2010
90,Birds,GALLIFORMES,CRACIDAE,Penelope,Penelope superciliaris,Rusty-margined Guan,,,McGowan 2010
91,Birds,GALLIFORMES,CRACIDAE,Penelopina,Penelopina nigra,Highland Guan,,,McGowan 2010
92,Birds,GALLIFORMES,CRACIDAE,Pipile,Pipile cujubi,"Red-throated Piping-guan, Red-throated Piping-Guan",,,McGowan 2010
93,Birds,GALLIFORMES,CRACIDAE,Pipile,Pipile cumanensis,"Blue-throated Piping-guan, Blue-throated Piping-Guan",,,McGowan 2010
94,Birds,GALLIFORMES,CRACIDAE,Pipile,Pipile jacutinga,"Black Fronted Curassow, Black-fronted Piping-guan, Black-fronted Piping Guan, Black-fronted Piping-Guan",,,McGowan 2010
95,Birds,GALLIFORMES,CRACIDAE,Pipile,Pipile pipile,"Common Piping Guan, Trinidad Piping-guan, Trinidad Piping-Guan, Trinidad White-headed Curassow, Trinidad White-headed Piping Guan",,,McGowan 2010
96,Birds,Galliformes,Galliformidae,Gallus,Gallus gallus,Red Junglefowl,,,FAO World Watch List - all Gallus spp.
97,Birds,Galliformes,Galliformidae,Gallus,Gallus lafayetii,"Ceylon Junglefowl, Sri Lanka Junglefowl",,,FAO World Watch List - all Gallus spp.
98,Birds,Galliformes,Galliformidae,Gallus,Gallus sonneratii,"Grey Junglefowl, Sonnerat's Junglefowl",,,FAO World Watch List - all Gallus spp.
99,Birds,Galliformes,Galliformidae,Gallus,Gallus varius,Green Junglefowl,,,FAO World Watch List - all Gallus spp.
100,Birds,GALLIFORMES,MEGAPODIIDAE,Aepypodius,Aepypodius arfakianus,"Wattled Brushturkey, Wattled Brush-turkey",,,McGowan 2010
101,Birds,GALLIFORMES,MEGAPODIIDAE,Aepypodius,Aepypodius bruijnii,"Bruijn's Brush-turkey, Waigeo Brushturkey, Waigeo Brush-turkey",,,McGowan 2010
102,Birds,GALLIFORMES,MEGAPODIIDAE,Alectura,Alectura lathami,"Australian Brushturkey, Australian Brush-turkey",,,McGowan 2010
103,Birds,GALLIFORMES,MEGAPODIIDAE,Eulipoa,Eulipoa wallacei,"Moluccan Megapode, Moluccan Scrubfowl",,,McGowan 2010
104,Birds,GALLIFORMES,MEGAPODIIDAE,Leipoa,Leipoa ocellata,Malleefowl,,,McGowan 2010
105,Birds,GALLIFORMES,MEGAPODIIDAE,Macrocephalon,Macrocephalon maleo,"Gray's Brush-turkey, Maleo, Maleo Megapode",,,McGowan 2010
106,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius affinis,"New Guinea Megapode, New Guinea Scrubfowl",,,McGowan 2010
107,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius bernsteinii,"Sula Megapode, Sula Scrubfowl",,,McGowan 2010
108,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius cumingii,"Philippine Megapode, Tabon Megapode, Tabon Scrubfowl",,,McGowan 2010
109,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius eremita,"Melanesian Megapode, Melanesian Scrubfowl",,,McGowan 2010
110,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius freycinet,Dusky Megapode,,,McGowan 2010
111,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius geelvinkianus,Biak Megapode,,,McGowan 2010
112,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius laperouse,"Marianas Scrubfowl, Micronesian Megapode, Micronesian Scrubfowl",,,McGowan 2010
