"ID","Genus Hybrid","Genus","Species Hybrid","Species","Infraspecific Rank","Infraspecific Epithet","Cultivar","No. Locations","Crop Wild Relative","Red List","Red List 1997","CITES Appendix","CITES Last Assessed","Medicinal Distribution","Medicinal Threatened","Medicinal Cites Listed","Medicinal PartUsed","Medicinal Symptoms Treated","Medicinal Reference"
"71893","","Madhuca","","longifolia","","","","7","No","","","","","India","x","","","","24"
"31292","","Maesa","","lanceolata","","","","7","No","","","","","Africa","x","","","","25"
"18383","","Magnolia","","denudata","","","","96","No","","","II","1985-08-01","China","","","","","42"
"13447","","Magnolia","","officinalis","var.","biloba","","38","No","","","II","1985-08-01","China","","","","","42, 22"
"2840","","Mahonia","","aquifolium","","","","144","No","","","","","US","x","","","","17"
"267471","","Mahonia","","dictyota","","","","4","No","","","","","US","x","","","","17"
"31346","","Mahonia","","napaulensis","","","","12","No","","","","","India","","","","","20"
"13837","","Mahonia","","nervosa","","","","43","No","","","","","US","x","","","","17"
"31363","","Mahonia","","pinnata","","","","22","No","","","","","US","x","","","","17"
"2843","","Mahonia","","repens","","","","85","No","","","","","US","x","","","","17"
"181768","","Majorana","","hortensis","","","","9","No","","","","","India","","","plant",".","12"
"31479","","Malus","","sylvestris","","","","61","Yes","","","","","Europe","","","","","21"
"31493","","Malva","","parviflora","","","","13","No","","","","","India","","","aerial parts","","40"
"10043","","Malva","","sylvestris","","","Zebrina","11","No","","","","","Europe, India","","","flower","urinary tract infections","21, 12"
"31498","","Malva","","verticillata","var.","crispa","","8","No","","","","","China","","","","","42, 22"
"2855","","Mammea","","americana","","","","25","No","","","","","Latin America and the Caribbean","","","","","39"
"2878","","Mangifera","","indica","","","","79","Yes","Data Deficient","","","","India, South America and the Caribbean","","","","","4, 31, 39"
"2881","","Manihot","","esculenta","","","","65","Yes","","","","","Latin America and the Caribbean","","","","","39"
"2884","","Manilkara","","zapota","","","","77","No","","","","","South America","","","","","31"
"2885","","Mansoa","","alliacea","","","","9","No","","","","","South America","","","","","31"
"6215","","Markhamia","","lutea","","","","24","No","","","","","Africa","x","","","","25"
"2895","","Marrubium","","vulgare","","","","90","No","","","","","India, Europe","","","plant","jaundice, hepatitis","12, 21"
"61079","","Marsilea","","minuta","","","","7","No","","","","","Africa","","","","","34"
"31982","","Matricaria","","chamomilla","","","","14","No","","","","","India","","","flower","rheumatism","12"
"11800","","Matricaria","","recutita","","","","52","No","","","","","Latin America and the Caribbean","","","","","39"
"96794","","Maytenus","","heterophylla","","","","10","No","","","","","Africa","","","","","34"
"32100","","Maytenus","","ilicifolia","","","","9","No","","","","","South America","","","","","31"
"129332","","Maytenus","","senegalensis","","","","6","No","","","","","Africa","x","","","","25, 29"
"32120","","Meconopsis","","aculeata","","","","5","No","","Endangered","","","India","x","","","","14, 24"
"20281","","Meconopsis","","betonicifolia","","","","44","No","","","","","India","x","","","","14"
"32148","","Medicago","","sativa","subsp.","falcata","","12","Yes","","","","","India, North Pakistan","","","plant","heart diseases, respiratory disorders, stomachic, arthritis, hair care, hypertension","12, 26"
"280436","","Melia","","azadirachta","","","","3","No","","","","","India","","","leaf, bark , root","skin diseases, eczema, wormicidal, rheumatism, measles, leprosy, adenopathy","12"
"2929","","Melia","","azedarach","","","","89","No","","","","","China","","","","","42"
"9729","","Melia","","toosendan","","","","8","No","","","","","China","","","","","22"
"32228","","Melilotus","","alba","","","","19","No","","","","","North Pakistan","","","","","26"
"32227","","Melilotus","","officinalis","","","","62","No","","","","","Europe","","","","","21"
"2934","","Melissa","","officinalis","","","","131","No","","","","","Europe, India","","","plant","fever, nervous diseases","21, 8, 18, 12"
"73571","","Melochia","","corchorifolia","","","","5","No","","","","","Africa","","","","","34"
"20763","","Mentha","","arvensis","subsp.","austriaca","","0","No","","","","","China","","","","","22"
"14966","","Mentha","","longifolia","","","","68","No","","","","","North Pakistan","","","","","26"
"8508","","Mentha","x","piperita","","","","82","No","","","","","Europe","","","","","21"
"2941","","Mentha","","pulegium","","","","73","No","","","","","Europe","","","","","21"
"7083","","Mentha","","spicata","","","","101","No","","","","","India","","","leaf, whole plant","toothache, intestinal worms","12"
"6602","","Mesua","","ferrea","","","","9","No","","","","","India","","","flower, bud","astringent, coolant, astringent, aromatic","12"
"2950","","Michelia","","champaca","","","","30","No","","","II","1985-08-01","India","x","","","","24"
"32434","","Microcoelia","","exilis","","","","6","No","","","II","2005-01-12","Swaziland","x","Appendix II","","","13"
"71983","","Mikania","","cordifolia","","","","2","No","","","","","South America","","","","","31"
"266686","","Mikania","","guaco","","","","1","No","","","","","South America","","","","","31"
"217401","","Milicia","","excelsa","","","","7","No","Lower Risk: Near Threatened","","","","Africa","x","","","","29, 25"
"32550","","Mimosa","","pudica","","","","75","No","","","","","South America, India","","","seed, whole plant","skin diseases, mouth ulcers, throat inflammations","31, 12"
"2968","","Mimusops","","caffra","","","","13","No","","","","","Africa","","","","","34"
"2969","","Mimusops","","elengi","","","","26","No","","","","","Africa","","","","","34"
"14489","","Mimusops","","maxima","","","","2","No","","","","","Africa","","","","","34"
"96937","","Mimusops","","zeyheri","","","","7","No","","","","","Africa","","","","","34"
"131964","","Minquartia","","guianensis","","","","1","No","Lower Risk: Near Threatened","","","","South America","","","","","31"
"7586","","Mirabilis","","jalapa","","","","88","No","","","","","India","","","whole plant","skin diseases","12"
"32626","","Mitchella","","repens","","","","60","No","","","","","US","x","","","","17"
"98829","","Mitragyna","","stipulosa","","","","1","No","","","","","Africa","","","","","36"
"32659","","Momordica","","balsamina","","","","21","No","","","","","Africa","","","","","34"
"6731","","Momordica","","charantia","","","","54","No","","","","","Africa","","","","","34"
"32658","","Momordica","","cochinchinensis","","","","6","No","","","","","China","","","","","42"
"157352","","Momordica","","foetida","","","","3","No","","","","","Africa","","","","","34"
"32662","","Momordica","","rostrata","","","","34","No","","","","","Africa","","","","","34"
"4775","","Monarda","","fistulosa","var.","alba","","1","No","","","","","US","x","","","","17"
"32699","","Monarda","","punctata","","","","53","No","","","","","US","x","","","","17"
"8902","","Mondia","","whytei","","","","1","No","","","","","Africa","x","","","","25"
"63282","","Monotropa","","uniflora","","","","19","No","","","","","US","x","","","","17"
"4577","","Monstera","","deliciosa","var.","variegata","","2","No","","","","","South America","","","","","31"
"264642","","Morella","","cerifera","","","SuwaneeElf","0","No","","","","","US","x","","","","17"
"7846","","Morinda","","citrifolia","","","","49","No","","","","","India, South America and the Caribbean","","","fruit, leaf","asthma, wound-healing","12, 39"
"63374","","Morinda","","lucida","","","","4","No","","","","","Africa","","","","","34"
"62380","","Morinda","","officinalis","","","","6","No","","","","","China","","","","","42, 22"
"7388","","Moringa","","oleifera","","","","42","No","","","","","Africa, India","x","","seeds","hypertension, ulcer, rheumatism, sterility, alopecia, cardiotonic, paralysis, liver disorders, spleen disorders","7, 34, 24, 4, 12"
"2992","","Moringa","","pterygosperma","","","","3","No","","","","","Latin America and the Caribbean, Africa and Madagascar","","","","","39, 36"
"152205","","Moringa","","stenopetala","","","","10","No","","","","","Africa","","","","","34"
"21273","","Morus","","alba","","","","162","No","","","","","China, India","","","bark, fruit","cough, sore throat, anaemia,","42, 22, 12"
"2995","","Morus","","nigra","","","","80","No","","","","","Europe","","","","","21"
"32812","","Mucuna","","gigantea","","","","9","No","","","","","Africa","","","","","34"
"156709","","Mucuna","","poggei","var.","occidentalis","","1","No","","","","","Africa","","","","","34"
"32813","","Mucuna","","pruriens","var.","pruriens","","3","No","","","","","South America, India","","","seed, root","nervous system disorders,","31, 12"
"152226","","Mucuna","","sloanei","","","","4","No","","","","","Africa","","","","","34"
"3001","","Murraya","","koenigii","","","","40","No","","","","","India","","","leaf, whole plant","fever","12"
"131974","","Myrciaria","","dubia","","","","1","No","","","","","South America","","","","","31"
"100603","","Myrianthus","","arboreus","","","","4","No","","","","","Africa","","","","","34"
"285428","","Myrica","","nagi","","","","2","No","","","","","India","","","leaf, bark","asthma, fevers, colds, wounds","12"
"73386","","Myrica","","rubra","","","","13","No","","","","","South America","","","","","31"
"32972","","Myristica","","fragrans","","","","33","No","Data Deficient","","","","India, South America and the Caribbean","","","seed","aphrodisiac, carminative","12"
"72035","","Myristica","","malabarica","","","","2","No","Vulnerable","Endangered","","","India","x","","seed","external application in ear diseases","24, 12"
"6965","","Myroxylon","","balsamum","","","","13","No","","","","","South America","","","","","31"
"3028","","Myrsine","","africana","","","","67","No","","","","","Africa","x","","","","25"
"3029","","Myrtillocactus","","geometrizans","","","","85","No","","","II","2003-02-13","Mexico","x","Appendix II","","","13"
"33002","","Mystacidium","","millarii","","","","5","No","","","II","2005-01-12","South Africa","x","Appendix II","","","13"
"33001","","Mystacidium","","venosum","","","","3","No","","","","","","x","Appendix II","","","13"
"13459","","Nasturtium","","officinale","","","","38","No","","","","","Africa, India","","","plant, leaf","","34, 12"
"242665","","Nasturtium","","officinalis","","","","2","No","","","","","Europe","","","","","21"
"152325","","Nauclea","","latifolia","","","","4","No","","","","","Africa","","","","","36"
"33190","","Nectaroscordum","","siculum","subsp.","siculum","X bulgaricum Janka","4","No","","","","","Europe","","","","","21"
"3042","","Nelumbo","","nucifera","","","","60","No","","","","","India","","","flower, seed, leaf, root","urinary tract infections, piles, leprosy, vomiting, fever, dysentery,","12"
"33417","","Nepenthes","","distillatoria","","","","6","No","Vulnerable","","II","1987-10-22","","x","Appendix I","","","13"
"7574","","Nepenthes","","khasiana","","","","24","No","","Indeterminate","I","1987-10-22","India","x","Appendix II","","","13"
"33508","","Nerium","","indicum","","","","4","No","","","","","India","","","root, plant","epilepsy, herpes, other viral infections","12"
"258451","","Nerium","","odorum","","","","2","No","","","","","India","","","root, bark","piles ","12"
"62027","","Nervilia","","aragoana","","","","3","No","","","II","2005-01-12","India","x","","","","14, 24"
"7343","","Newtonia","","hildebrandtii","","","","3","No","","","","","Africa","x","","","","37"
"3064","","Nicotiana","","tabacum","","","","79","Yes","","","","","India, Africa and Madagascar, South America and the Caribbean","","","leaf, stalk","sedative, insecticidal, emetic, purgative","12, 36, 39"
"33580","","Nigella","","sativa","","","","45","No","","","","","India","","","seed","bactericidal, tumour, stimulant, diuretic, galactagogue, carminative","12"
"166847","","Nyctanthes","","arbortristis","","","","1","No","","","","","India","","","flower, leaf","fever, rheumatism","12"
"33716","","Nymphaea","","lotus","","","","35","No","","","","","Africa","","","","","36"
"33723","","Nymphaea","","odorata","","","","36","No","","","","","US","x","","","","17"
"106979","","Nymphaea","","sp","","","Jennifer Rebecca","1","No","","","","","South America","","","","","31"
"6027","","Ochrosia","","borbonica","","","","7","No","Endangered","Vulnerable","","","Africa","","","","","34"
"33779","","Ocimum","","americanum","var.","pilosum","","6","No","","","","","Africa","x","","","","25"
"7086","","Ocimum","","basilicum","","","","71","No","","","","","Europe,India, South America and the Caribbean","","","whole plant","respiratory diseases, skin diseases","21, 12, 39"
"33771","","Ocimum","","gratissimum","","","","24","No","","","","","Africa and Madagascar, India, South America and the Caribbean","x","","leaf","rheumatism","36, 39, 25, 12"
"33772","","Ocimum","","micranthum","","","","4","No","","","","","South America","","","","","28"
"11288","","Ocimum","","sanctum","","","","11","No","","","","","India","","","leaf","carminative, expectorant, bactericidal, hair cleanser","4, 12"
"98684","","Olea","","europea","","","","9","No","","","","","Africa","","","","","36"
"3106","","Oncoba","","routledgei","","","","7","No","","","","","Africa","x","","","","25"
