"cwr_id","orig_record","sp","spp","var","auth"
959,"Mangifera sumbawaensis Kosterm.","Mangifera sumbawaensis",,,"Kosterm."
960,"Mangifera swintonioides Kosterm.","Mangifera swintonioides",,,"Kosterm."
961,"Mangifera sylvatica Roxb.","Mangifera sylvatica",,,"Roxb."
962,"Mangifera timorensis Bl.","Mangifera timorensis",,,"Bl."
963,"Mangifera torquenda Kosterm.","Mangifera torquenda",,,"Kosterm."
964,"Mangifera zeylanica (Bl.) Hooker f.","Mangifera zeylanica",,,"(Bl.) Hooker f."
965,"Manihot aesculifolia Pohl","Manihot aesculifolia",,,"Pohl"
966,"Manihot angustiloba (Torr.) Mﾟll.Arg.","Manihot angustiloba",,,"(Torr.) Mﾟll.Arg."
967,"Manihot anomala Pohl","Manihot anomala",,,"Pohl"
968,"Manihot brachyloba Mﾟll. Arg.","Manihot brachyloba",,,"Mﾟll. Arg."
969,"Manihot caerulescens Pohl","Manihot caerulescens",,,"Pohl"
970,"Manihot carthaginensis (Jacq.) Mﾟll.Arg.","Manihot carthaginensis",,,"(Jacq.) Mﾟll.Arg."
971,"Manihot catingae Ule","Manihot catingae",,,"Ule"
972,"Manihot chlorosticta Standl. & Goldman","Manihot chlorosticta",,,"Standl. & Goldman"
973,"Manihot davisiae Croizat","Manihot davisiae",,,"Croizat"
974,"Manihot dichotoma Ule","Manihot dichotoma",,,"Ule"
975,"Manihot epruinosa Pax & K. Hoffm.","Manihot epruinosa",,,"Pax & K. Hoffm."
976,"Manihot esculenta Crantz","Manihot esculenta",,,"Crantz"
977,"Manihot esculenta subsp. peruviana (Mﾟll. Arg.) Allem","Manihot esculenta","peruviana",,"(Mﾟll."
978,"Manihot glaziovii Mﾟll. Arg.","Manihot glaziovii",,,"Mﾟll. Arg."
979,"Manihot gracilis Pohl","Manihot gracilis",,,"Pohl"
980,"Manihot leptophylla Pax & K. Hoffm.","Manihot leptophylla",,,"Pax & K. Hoffm."
981,"Manihot neusana Nassar","Manihot neusana",,,"Nassar"
982,"Manihot oligantha Pax & K.Hoffm.","Manihot oligantha",,,"Pax & K.Hoffm."
983,"Manihot pilosa Pohl","Manihot pilosa",,,"Pohl"
984,"Manihot pohlii Wawra","Manihot pohlii",,,"Wawra"
985,"Manihot pruinosa Pohl","Manihot pruinosa",,,"Pohl"
986,"Manihot pseudoglaziovii Pax & K.Hoffm.","Manihot pseudoglaziovii",,,"Pax & K.Hoffm."
987,"Manihot rubricaulis I.M.Johnst.","Manihot rubricaulis",,,"I.M.Johnst."
988,"Manihot tripartita Mﾟll. Arg.","Manihot tripartita",,,"Mﾟll. Arg."
989,"Manihot triphylla Pohl","Manihot triphylla",,,"Pohl"
990,"Manihot tristis Mﾟll.Arg.","Manihot tristis",,,"Mﾟll.Arg."
991,"Manihot tristis subsp. saxicola (Lanj.) D.J.Rogers & Appan","Manihot tristis","saxicola",,"(Lanj.)"
992,"Manihot walkerae Croizat","Manihot walkerae",,,"Croizat"
993,"Medicago arborea L.","Medicago arborea",,,"L."
994,"Medicago constricta Durieu","Medicago constricta",,,"Durieu"
995,"Medicago doliata Carmign.","Medicago doliata",,,"Carmign."
996,"Medicago italica (Mill.) Fiori","Medicago italica",,,"(Mill.) Fiori"
997,"Medicago lesinsii F.Small","Medicago lesinsii",,,"F.Small"
998,"Medicago littoralis Loisel.","Medicago littoralis",,,"Loisel."
999,"Medicago murex Willd.","Medicago murex",,,"Willd."
1000,"Medicago papillosa Boiss.","Medicago papillosa",,,"Boiss."
1001,"Medicago papillosa Boiss. subsp. papillosa ","Medicago papillosa","papillosa",,"Boiss. subsp. papillosa "
1002,"Medicago papillosa subsp. macrocarpa (Boiss.) Urb.","Medicago papillosa","macrocarpa",,"(Boiss.)"
1003,"Medicago prostrata Jacq.","Medicago prostrata",,,"Jacq."
1004,"Medicago rigidula (L.) All.","Medicago rigidula",,,"(L.) All."
1005,"Medicago rugosa Desr.","Medicago rugosa",,,"Desr."
1006,"Medicago sativa L. subsp. sativa ","Medicago sativa","sativa",,"L. subsp. sativa "
1007,"Medicago sativa subsp. caerulea (Less. ex Ledeb.) Schmalh.","Medicago sativa","caerulea",,"(Less."
1008,"Medicago sativa subsp. falcata (L.) Arcang.","Medicago sativa","falcata",,"(L.)"
1009,"Medicago sativa subsp. glomerata (Balb.) Rouy","Medicago sativa","glomerata",,"(Balb.)"
1010,"Medicago sativa subsp. tunetana Murb.","Medicago sativa","tunetana",,"Murb."
1011,"Medicago sativa subsp. varia (Martyn) Arcang.","Medicago sativa","varia",,"(Martyn)"
1012,"Medicago sativa var. falcata (L.) Arcang.","Medicago sativa",,"falcata ","(L.) Arcang."
1013,"Medicago sativa var. viscosa (Rchb.) Posp.","Medicago sativa",,"viscosa ","(Rchb.) Posp."
1014,"Medicago saxatilis M. Bieb.","Medicago saxatilis",,,"M. Bieb."
1015,"Medicago scutellata (L.) Mill.","Medicago scutellata",,,"(L.) Mill."
1016,"Medicago soleirolii Duby","Medicago soleirolii",,,"Duby"
1017,"Medicago truncatula Gaertn.","Medicago truncatula",,,"Gaertn."
1018,"Medicago turbinata (L.) All.","Medicago turbinata",,,"(L.) All."
1019,"Moricandia arvensis (L.) DC.","Moricandia arvensis",,,"(L.) DC."
1020,"Musa acuminata subsp. banksii N.W.Simmonds","Musa acuminata","banksii",,"N.W.Simmonds"
1021,"Musa acuminata subsp. burmannica N.W.Simmonds","Musa acuminata","burmannica",,"N.W.Simmonds"
1022,"Musa acuminata subsp. burmannicoides E. De Langhe","Musa acuminata","burmannicoides",,"E."
1023,"Musa acuminata subsp. errans (Blanco) R.V.Valmayor","Musa acuminata","errans",,"(Blanco)"
1024,"Musa acuminata subsp. halabanensis (Meijer) M.Hotta","Musa acuminata","halabanensis",,"(Meijer)"
1025,"Musa acuminata subsp. malaccensis (Ridl.) N.W.Simmonds","Musa acuminata","malaccensis",,"(Ridl.)"
1026,"Musa acuminata subsp. siamea N.W.Simmonds","Musa acuminata","siamea",,"N.W.Simmonds"
1027,"Musa acuminata subsp. truncata (Ridl.) Kiew","Musa acuminata","truncata",,"(Ridl.)"
1028,"Musa acuminata var. alasensis Nasution","Musa acuminata",,"alasensis ","Nasution"
1029,"Musa acuminata var. bantamensis Nasution","Musa acuminata",,"bantamensis ","Nasution"
1030,"Musa acuminata var. breviformis Nasution","Musa acuminata",,"breviformis ","Nasution"
1031,"Musa acuminata var. cerifera (Backer) Nasution","Musa acuminata",,"cerifera ","(Backer) Nasution"
1032,"Musa acuminata var. chinensis Hﾊkkinen & H.Wang","Musa acuminata",,"chinensis ","Hﾊkkinen & H.Wang"
1033,"Musa acuminata var. flava (Ridl.) Nasution","Musa acuminata",,"flava ","(Ridl.) Nasution"
1034,"Musa acuminata var. longipetiolata Nasution","Musa acuminata",,"longipetiolata ","Nasution"
1035,"Musa acuminata var. microcarpa (Becc.) Nasution","Musa acuminata",,"microcarpa ","(Becc.) Nasution"
1036,"Musa acuminata var. minor Ridl.","Musa acuminata",,"minor ","Ridl."
1037,"Musa acuminata var. nakaii Nasution","Musa acuminata",,"nakaii ","Nasution"
1038,"Musa acuminata var. rutilipes (Backer) Nasution","Musa acuminata",,"rutilipes ","(Backer) Nasution"
1039,"Musa acuminata var. sumatrana (Becc.) Nasution","Musa acuminata",,"sumatrana ","(Becc.) Nasution"
1040,"Musa acuminata var. tomentosa (Warb.) Nasution","Musa acuminata",,"tomentosa ","(Warb.) Nasution"
1041,"Musa acuminata var. zebrina (Van Houtte ex Planch.) Nasution","Musa acuminata",,"zebrina ","(Van Houtte ex Planch.) Nasution"
1042,"Musa balbisiana Colla","Musa balbisiana",,,"Colla"
1043,"Musa balbisiana Colla var. balbisiana ","Musa balbisiana",,"balbisiana ","Colla "
1044,"Musa balbisiana var. andamica D.B.Singh, Sreek., T.V.R.S.Sharma & A.K.Bandyop.","Musa balbisiana",,"andamica ","D.B.Singh, Sreek., T.V.R.S.Sharma & A.K.Bandyop."
1045,"Musa balbisiana var. bakeri (Hook.f.) Hﾊkkinen","Musa balbisiana",,"bakeri ","(Hook.f.) Hﾊkkinen"
1046,"Musa balbisiana var. brachycarpa (Backer) Hﾊkkinen, comb. nov.","Musa balbisiana",,"brachycarpa ","(Backer) Hﾊkkinen, comb. nov."
1047,"Musa balbisiana var. dechangensis (J.L.Liu & M.G.Liu) Hﾊkkinen","Musa balbisiana",,"dechangensis ","(J.L.Liu & M.G.Liu) Hﾊkkinen"
1048,"Musa balbisiana var. liukiuensis (Matsum.) Hﾊkkinen, comb. nov.","Musa balbisiana",,"liukiuensis ","(Matsum.) Hﾊkkinen, comb. nov."
1049,"Musa basjoo Siebold & Zucc. Ex Iinuma","Musa basjoo",,,"Siebold & Zucc. Ex Iinuma"
1050,"Musa bukensis Argent","Musa bukensis",,,"Argent"
1051,"Musa flaviflora N.W. Simmonds","Musa flaviflora",,,"N.W. Simmonds"
1052,"Musa itinerans Cheesman","Musa itinerans",,,"Cheesman"
1053,"Musa jackeyi W. Hill","Musa jackeyi",,,"W. Hill"
1054,"Musa lododensis Cheesman","Musa lododensis",,,"Cheesman"
1055,"Musa maclayi F. Muell.","Musa maclayi",,,"F. Muell."
1056,"Musa nagensium Prain","Musa nagensium",,,"Prain"
1057,"Musa peekelii Lauterb.","Musa peekelii",,,"Lauterb."
1058,"Musa schizocarpa N.W. Simmonds","Musa schizocarpa",,,"N.W. Simmonds"
1059,"Musa sikkimensis Kurz","Musa sikkimensis",,,"Kurz"
1060,"Musa textilis Nee","Musa textilis",,,"Nee"
1061,"Musa yunnanensis Hﾊkkinen & H.Wang","Musa yunnanensis",,,"Hﾊkkinen & H.Wang"
1062,"Musa yunnanensis var. caii Hﾊkkinen & H.Wang","Musa yunnanensis",,"caii ","Hﾊkkinen & H.Wang"
1063,"Musa yunnanensis var. jingdongensis Hﾊkkinen & H.Wang","Musa yunnanensis",,"jingdongensis ","Hﾊkkinen & H.Wang"
1064,"Musa yunnanensis var. yongpingensis Hﾊkkinen & H.Wang","Musa yunnanensis",,"yongpingensis ","Hﾊkkinen & H.Wang"
1065,"Olea europaea L.","Olea europaea",,,"L."
1066,"Olea europaea subsp. cuspidata (Wall. & G.Don) Cif.","Olea europaea","cuspidata",,"(Wall."
1067,"Olea europaea subsp. guanchica P. Vargas et al. ","Olea europaea","guanchica",,"P."
1068,"Olea europaea subsp. laperrinei (Batt. & Trab.) Cif. ","Olea europaea","laperrinei",,"(Batt."
1069,"Olea europaea subsp. maroccana (Greuter & Burdet) P. Vargas et al. ","Olea europaea","maroccana",,"(Greuter"
1070,"Olea europaea var. cerasiformis Webb & Berthel.","Olea europaea",,"cerasiformis ","Webb & Berthel."
1071,"Olea europaea var. sativa (Weston) Lehr.","Olea europaea",,"sativa ","(Weston) Lehr."
1072,"Olea europaea var. sylvestris (Mill.) Lehr.","Olea europaea",,"sylvestris ","(Mill.) Lehr."
1073,"Orychophragmus violaceus (L.) O.E. Schulz","Orychophragmus violaceus",,,"(L.) O.E. Schulz"
1074,"Oryza alta Swallen","Oryza alta",,,"Swallen"
1075,"Oryza australiensis Domin","Oryza australiensis",,,"Domin"
1076,"Oryza barthii A. Chev.","Oryza barthii",,,"A. Chev."
1077,"Oryza brachyantha A. Chev. & Roehr.","Oryza brachyantha",,,"A. Chev. & Roehr."
1078,"Oryza eichingeri Peter","Oryza eichingeri",,,"Peter"
1079,"Oryza glaberrima Steud.","Oryza glaberrima",,,"Steud."
1080,"Oryza glumipatula Steud.","Oryza glumipatula",,,"Steud."
1081,"Oryza grandiglumis (Doll) Prodoehl","Oryza grandiglumis",,,"(Doll) Prodoehl"
1082,"Oryza granulata Nees & Arn. ex G. Watt","Oryza granulata",,,"Nees & Arn. ex G. Watt"
1083,"Oryza latifolia Desv.","Oryza latifolia",,,"Desv."
1084,"Oryza longiglumis Jansen","Oryza longiglumis",,,"Jansen"
1085,"Oryza longistaminata A. Chev. & Roehr.","Oryza longistaminata",,,"A. Chev. & Roehr."
1086,"Oryza malampuzhaensis Krishnasw. & Chandrasekh.","Oryza malampuzhaensis",,,"Krishnasw. & Chandrasekh."
1087,"Oryza meridionalis Ng","Oryza meridionalis",,,"Ng"
1088,"Oryza meyeriana (Zoll. & Moritzi) Baill.","Oryza meyeriana",,,"(Zoll. & Moritzi) Baill."
1089,"Oryza minuta J. Presl","Oryza minuta",,,"J. Presl"
1090,"Oryza nivara S. D. Sharma & Shastry","Oryza nivara",,,"S. D. Sharma & Shastry"
1091,"Oryza officinalis Wall. ex G. Watt","Oryza officinalis",,,"Wall. ex G. Watt"
1092,"Oryza punctata Kotschy ex Steud.","Oryza punctata",,,"Kotschy ex Steud."
1093,"Oryza rhizomatis D. A. Vaughan","Oryza rhizomatis",,,"D. A. Vaughan"
1094,"Oryza ridleyi Hook. f.","Oryza ridleyi",,,"Hook. f."
1095,"Oryza rufipogon Griff.","Oryza rufipogon",,,"Griff."
1096,"Oryza schweinfurthiana Prodoehl","Oryza schweinfurthiana",,,"Prodoehl"
1097,"Panicum bergii Arechav.","Panicum bergii",,,"Arechav."
1098,"Panicum fauriei Hitchc.","Panicum fauriei",,,"Hitchc."
1099,"Panicum miliaceum L.","Panicum miliaceum",,,"L."
1100,"Panicum miliaceum var. coccineum  (Kﾚrn.) V.M. Arnold & Shibaiev.","Panicum miliaceum",,"coccineum "," (Kﾚrn.) V.M. Arnold & Shibaiev."
1101,"Panicum miliaceum var. laetum  (Kﾚrn.) V.M. Arnold & Shibaiev.","Panicum miliaceum",,"laetum "," (Kﾚrn.) V.M. Arnold & Shibaiev."
1102,"Panicum miliaceum var. luteolum  (Kﾚrn.) V.M. Arnold & Shibaiev.","Panicum miliaceum",,"luteolum "," (Kﾚrn.) V.M. Arnold & Shibaiev."
1103,"Panicum nephelophilum Gaudich.","Panicum nephelophilum",,,"Gaudich."
1104,"Panicum stramineum Hitchc. & Chase","Panicum stramineum",,,"Hitchc. & Chase"
1105,"Pennisetum glaucum subsp. monodii (Maire) Brunken","Pennisetum glaucum","monodii",,"(Maire)"
1106,"Pennisetum orientale Rich.","Pennisetum orientale",,,"Rich."
1107,"Pennisetum purpureum Schumach.","Pennisetum purpureum",,,"Schumach."
1108,"Pennisetum squamulatum Fresen.","Pennisetum squamulatum",,,"Fresen."
1109,"Pennisetum stenostachyum Kloyzcsh ex. A. Br. and Bouche","Pennisetum stenostachyum",,,"Kloyzcsh ex. A. Br. and Bouche"
1110,"Persea americana Mill.","Persea americana",,,"Mill."
1111,"Persea guatemalensis Lundell","Persea guatemalensis",,,"Lundell"
1112,"Persea parvifolia Spreng.","Persea parvifolia",,,"Spreng."
1113,"Persea primatogena L.O.Williams et A.Molina","Persea primatogena",,,"L.O.Williams et A.Molina"
1114,"Persea schiedeana Nees","Persea schiedeana",,,"Nees"
1115,"Persea tolimanensis Zentmyer et Schieber","Persea tolimanensis",,,"Zentmyer et Schieber"
1116,"Persea zentmyerii Schieber et Zentmyer","Persea zentmyerii",,,"Schieber et Zentmyer"
1117,"Phaseolus acutifolius A. Gray var. acutifolius","Phaseolus acutifolius",,,"A. Gray var. acutifolius"
1118,"Phaseolus acutifolius var. tenuifolius A. Gray","Phaseolus acutifolius",,"tenuifolius ","A. Gray"
1119,"Phaseolus albescens McVaugh ex Ramirez-Delgadillo & A. Delgado","Phaseolus albescens",,,"McVaugh ex Ramirez-Delgadillo & A. Delgado"
1120,"Phaseolus augusti Harms","Phaseolus augusti",,,"Harms"
1121,"Phaseolus coccineus L.","Phaseolus coccineus",,,"L."
1122,"Phaseolus coccineus L. subsp. coccineus ","Phaseolus coccineus","coccineus",,"L. subsp. coccineus "
1123,"Phaseolus coccineus L. var. coccineus","Phaseolus coccineus",,,"L. var. coccineus"
1124,"Phaseolus coccineus subsp. striatus (Brandegee) Freytag","Phaseolus coccineus","striatus",,"(Brandegee)"
1125,"Phaseolus coccineus var. argenteus Freytag","Phaseolus coccineus",,"argenteus ","Freytag"
1126,"Phaseolus coccineus var. condensatus Freytag","Phaseolus coccineus",,"condensatus ","Freytag"
1127,"Phaseolus coccineus var. griseus (Piper) Freytag","Phaseolus coccineus",,"griseus ","(Piper) Freytag"
1128,"Phaseolus coccineus var. guatemalensis Freytag","Phaseolus coccineus",,"guatemalensis ","Freytag"
1129,"Phaseolus coccineus var. lineatibracteolatus Freytag","Phaseolus coccineus",,"lineatibracteolatus ","Freytag"
1130,"Phaseolus coccineus var. minuticicatricatus Freytag","Phaseolus coccineus",,"minuticicatricatus ","Freytag"
1131,"Phaseolus coccineus var. parvibracteolatus Freytag","Phaseolus coccineus",,"parvibracteolatus ","Freytag"
1132,"Phaseolus coccineus var. pringlei Rose ex Freytag","Phaseolus coccineus",,"pringlei ","Rose ex Freytag"
1133,"Phaseolus coccineus var. pubescens Freytag","Phaseolus coccineus",,"pubescens ","Freytag"
1134,"Phaseolus coccineus var. purpurascens Freytag","Phaseolus coccineus",,"purpurascens ","Freytag"
1135,"Phaseolus coccineus var. rigidicaulis Freytag","Phaseolus coccineus",,"rigidicaulis ","Freytag"
1136,"Phaseolus coccineus var. semperbracteolatus Freytag","Phaseolus coccineus",,"semperbracteolatus ","Freytag"
1137,"Phaseolus coccineus var. splendens Freytag","Phaseolus coccineus",,"splendens ","Freytag"
1138,"Phaseolus coccineus var. striatus (Brandegee) Freytag","Phaseolus coccineus",,"striatus ","(Brandegee) Freytag"
1139,"Phaseolus coccineus var. strigillosus (Piper) Freytag","Phaseolus coccineus",,"strigillosus ","(Piper) Freytag"
1140,"Phaseolus coccineus var. timilpanensis Freytag","Phaseolus coccineus",,"timilpanensis ","Freytag"
1141,"Phaseolus coccineus var. tridentatus Freytag","Phaseolus coccineus",,"tridentatus ","Freytag"
1142,"Phaseolus coccineus var. zongolicensis Freytag","Phaseolus coccineus",,"zongolicensis ","Freytag"
1143,"Phaseolus costaricensis Freytag & Debouck","Phaseolus costaricensis",,,"Freytag & Debouck"
1144,"Phaseolus dumosus Macfad.","Phaseolus dumosus",,,"Macfad."
1145,"Phaseolus longiplacentifer Freytag","Phaseolus longiplacentifer",,,"Freytag"
1146,"Phaseolus lunatus L.","Phaseolus lunatus",,,"L."
1147,"Phaseolus mollis Hook. f.","Phaseolus mollis",,,"Hook. f."
1148,"Phaseolus pachyrrhizoides Harms","Phaseolus pachyrrhizoides",,,"Harms"
1149,"Phaseolus parvifolius Freytag","Phaseolus parvifolius",,,"Freytag"
1150,"Phaseolus persistentus Freytag & Debouck","Phaseolus persistentus",,,"Freytag & Debouck"
1151,"Phaseolus vulgaris L.","Phaseolus vulgaris",,,"L."
1152,"Phaseolus vulgaris var. aborigineus (Burkart) Baudet","Phaseolus vulgaris",,"aborigineus ","(Burkart) Baudet"
1153,"Phoenix dactylifera L.","Phoenix dactylifera",,,"L."
1154,"Pimenta dioica (L.) Merr.","Pimenta dioica",,,"(L.) Merr."
1155,"Piper bababudani Rahiman","Piper bababudani",,,"Rahiman"
1156,"Piper divaricatum G.Mey.","Piper divaricatum",,,"G.Mey."
1157,"Piper galeatum (Miq.) C. DC.","Piper galeatum",,,"(Miq.) C. DC."
1158,"Piper nigrum L.","Piper nigrum",,,"L."
1159,"Piper sugandhi Ravindran, Babu & Naik","Piper sugandhi",,,"Ravindran, Babu & Naik"
1160,"Piper trichostachyon (Miq.) C. DC.","Piper trichostachyon",,,"(Miq.) C. DC."
1161,"Piper wightii Miq.","Piper wightii",,,"Miq."
1162,"Pistacia _ saportae Burnat","Pistacia _",,,"saportae Burnat"
1163,"Pistacia atlantica Desf.","Pistacia atlantica",,,"Desf."
1164,"Pistacia atlantica Desf. subsp. atlantica ","Pistacia atlantica","atlantica",,"Desf. subsp. atlantica "
1165,"Pistacia atlantica subsp. cabulica (Stocks) Rech. f.","Pistacia atlantica","cabulica",,"(Stocks)"
1166,"Pistacia atlantica subsp. mutica (Fisch. & C. A. Mey.) Rech. f.","Pistacia atlantica","mutica",,"(Fisch."
1167,"Pistacia chinensis Bunge","Pistacia chinensis",,,"Bunge"
1168,"Pistacia chinensis subsp. integerrima (J. L. Stewart ex Brandis) Rech. F.","Pistacia chinensis","integerrima",,"(J."
1169,"Pistacia eurycarpa Yaltirik","Pistacia eurycarpa",,,"Yaltirik"
1170,"Pistacia khinjuk Stocks","Pistacia khinjuk",,,"Stocks"
1171,"Pistacia lentiscus L.","Pistacia lentiscus",,,"L."
1172,"Pistacia mexicana HBK","Pistacia mexicana",,,"HBK"
1173,"Pistacia terebinthus L.","Pistacia terebinthus",,,"L."
1174,"Pistacia terebinthus L. subsp. terebinthus ","Pistacia terebinthus","terebinthus",,"L. subsp. terebinthus "
1175,"Pistacia terebinthus subsp. palaestina (Boiss.) Engl.","Pistacia terebinthus","palaestina",,"(Boiss.)"
1176,"Pistacia weinmannifolia Poisson","Pistacia weinmannifolia",,,"Poisson"
1177,"Pisum abyssinicum A. Br.","Pisum abyssinicum",,,"A. Br."
1178,"Pisum fulvum Sibth. & Sm.","Pisum fulvum",,,"Sibth. & Sm."
1179,"Pisum sativum L.","Pisum sativum",,,"L."
1180,"Pisum sativum var. brevipedunculatum P. H. Davis & Meikle","Pisum sativum",,"brevipedunculatum ","P. H. Davis & Meikle"
1181,"Pisum sativum var. elatius (Steven ex M. Bieb.) Alef.","Pisum sativum",,"elatius ","(Steven ex M. Bieb.) Alef."
1182,"Pisum sativum var. pumilio Meikle","Pisum sativum",,"pumilio ","Meikle"
1183,"Potentilla palustris (L.) Scop.","Potentilla palustris",,,"(L.) Scop."
1184,"Prunus _ dawyckensis Sealy","Prunus _",,,"dawyckensis Sealy"
1185,"Prunus _ eminens Beck","Prunus _",,,"eminens Beck"
1186,"Prunus _ fontanesiana (Spach) C. K. Schneid.","Prunus _",,,"fontanesiana (Spach) C. K. Schneid."
1187,"Prunus _ juddii E. S. Anderson","Prunus _",,,"juddii E. S. Anderson"
1188,"Prunus _ schmittii Rehder","Prunus _",,,"schmittii Rehder"
1189,"Prunus americana Marshall","Prunus americana",,,"Marshall"
1190,"Prunus andersonii A. Gray","Prunus andersonii",,,"A. Gray"
1191,"Prunus angustifolia Marshall","Prunus angustifolia",,,"Marshall"
1192,"Prunus arabica (Olivier) Meikle","Prunus arabica",,,"(Olivier) Meikle"
1193,"Prunus argentea (Lam.) Rehder","Prunus argentea",,,"(Lam.) Rehder"
1194,"Prunus armeniaca L.","Prunus armeniaca",,,"L."
1195,"Prunus armeniaca var. ansu Maxim.","Prunus armeniaca",,"ansu ","Maxim."
1196,"Prunus avium (L.) L.","Prunus avium",,,"(L.) L."
1197,"Prunus besseyi L.H. Bailey","Prunus besseyi",,,"L.H. Bailey"
1198,"Prunus bifrons Fritsch","Prunus bifrons",,,"Fritsch"
1199,"Prunus bokhariensis Royle ex C. K. Schneid.","Prunus bokhariensis",,,"Royle ex C. K. Schneid."
1200,"Prunus brahuica (Boiss.) Aitch. & Hemsl.","Prunus brahuica",,,"(Boiss.) Aitch. & Hemsl."
1201,"Prunus brigantina Vill.","Prunus brigantina",,,"Vill."
1202,"Prunus bucharica (Korsh.) Hand.-Mazz.","Prunus bucharica",,,"(Korsh.) Hand.-Mazz."
1203,"Prunus canescens Bois","Prunus canescens",,,"Bois"
1204,"Prunus carduchorum (Bornm.) Meikle","Prunus carduchorum",,,"(Bornm.) Meikle"
1205,"Prunus cerasifera Ehrh.","Prunus cerasifera",,,"Ehrh."
1206,"Prunus cerasifera var. divaricata (Ledeb.) L. H. Bailey","Prunus cerasifera",,"divaricata ","(Ledeb.) L. H. Bailey"
1207,"Prunus cerasoides D. Don","Prunus cerasoides",,,"D. Don"
1208,"Prunus cerasus L.","Prunus cerasus",,,"L."
1209,"Prunus cocomilia Ten.","Prunus cocomilia",,,"Ten."
1210,"Prunus concinna Koehne","Prunus concinna",,,"Koehne"
1211,"Prunus cornuta (Wall. ex Royle) Steud.","Prunus cornuta",,,"(Wall. ex Royle) Steud."
1212,"Prunus dasycarpa Ehrh.","Prunus dasycarpa",,,"Ehrh."
1213,"Prunus davidiana (Carriere) Franch.","Prunus davidiana",,,"(Carriere) Franch."
1214,"Prunus davidiana (Carriere) Franch. var. davidiana ","Prunus davidiana",,"davidiana ","(Carriere) Franch. "
1215,"Prunus davidiana var. potaninii (Batalin) Rehder","Prunus davidiana",,"potaninii ","(Batalin) Rehder"
1216,"Prunus dielsiana C.K. Schneid.","Prunus dielsiana",,,"C.K. Schneid."
1217,"Prunus domestica L.","Prunus domestica",,,"L."
1218,"Prunus domestica subsp. insititia (L.) C. K. Schneid.","Prunus domestica","insititia",,"(L.)"
1219,"Prunus dulcis (Mill.) D. A. Webb","Prunus dulcis",,,"(Mill.) D. A. Webb"
1220,"Prunus eburnea (Spach) Aitch.","Prunus eburnea",,,"(Spach) Aitch."
1221,"Prunus elaeagrifolia (Spach) A. E. Murray","Prunus elaeagrifolia",,,"(Spach) A. E. Murray"
1222,"Prunus emarginata (Douglas) Eaton","Prunus emarginata",,,"(Douglas) Eaton"
1223,"Prunus fenzliana Fritsch","Prunus fenzliana",,,"Fritsch"
1224,"Prunus ferganensis (Kostov & Rjabov) Kovalev & Kostov","Prunus ferganensis",,,"(Kostov & Rjabov) Kovalev & Kostov"
1225,"Prunus fremontii S. Watson","Prunus fremontii",,,"S. Watson"
1226,"Prunus fruticosa Pall.","Prunus fruticosa",,,"Pall."
1227,"Prunus glandulosa Thunb.","Prunus glandulosa",,,"Thunb."
1228,"Prunus gracilis Engelm. & A. Gray","Prunus gracilis",,,"Engelm. & A. Gray"
1229,"Prunus harvardii (W. Wight) S. C. Mason","Prunus harvardii",,,"(W. Wight) S. C. Mason"
1230,"Prunus haussknechtii C. K. Schneid.","Prunus haussknechtii",,,"C. K. Schneid."
1231,"Prunus hortulana L. H. Bailey","Prunus hortulana",,,"L. H. Bailey"
1232,"Prunus incana (Pall.) Batsch","Prunus incana",,,"(Pall.) Batsch"
1233,"Prunus incisa Thunb.","Prunus incisa",,,"Thunb."
1234,"Prunus jacquemontii Hook. f.","Prunus jacquemontii",,,"Hook. f."
1235,"Prunus japonica Thunb.","Prunus japonica",,,"Thunb."
1236,"Prunus kansuensis Rehder","Prunus kansuensis",,,"Rehder"
1237,"Prunus korshinskyi Hand.-Mazz.","Prunus korshinskyi",,,"Hand.-Mazz."
1238,"Prunus kotschyi (Boiss. & Hohen.) Meikle","Prunus kotschyi",,,"(Boiss. & Hohen.) Meikle"
1239,"Prunus kuramica (Korsh.) Kitam.","Prunus kuramica",,,"(Korsh.) Kitam."
1240,"Prunus lycioides (Spach) C. K. Schneid.","Prunus lycioides",,,"(Spach) C. K. Schneid."
1241,"Prunus maackii Rupr.","Prunus maackii",,,"Rupr."
1242,"Prunus mahaleb L.","Prunus mahaleb",,,"L."
1243,"Prunus mandshurica (Maxim.) Koehne","Prunus mandshurica",,,"(Maxim.) Koehne"
1244,"Prunus maritima Marshall","Prunus maritima",,,"Marshall"
1245,"Prunus mexicana S. Watson","Prunus mexicana",,,"S. Watson"
1246,"Prunus minutiflora Engelm. ex A. Gray","Prunus minutiflora",,,"Engelm. ex A. Gray"
1247,"Prunus mira Koehne","Prunus mira",,,"Koehne"
1248,"Prunus mume Siebold & Zucc.","Prunus mume",,,"Siebold & Zucc."
1249,"Prunus munsoniana W. Wight & Hedrick","Prunus munsoniana",,,"W. Wight & Hedrick"
1250,"Prunus murrayana E. J. Palmer","Prunus murrayana",,,"E. J. Palmer"
1251,"Prunus nigra Aiton","Prunus nigra",,,"Aiton"
1252,"Prunus nipponica Matsum.","Prunus nipponica",,,"Matsum."
1253,"Prunus nipponica Matsum. var. nipponica ","Prunus nipponica",,"nipponica ","Matsum. "
1254,"Prunus padus L.","Prunus padus",,,"L."
1255,"Prunus pendunculata (Pall.) Maxim.","Prunus pendunculata",,,"(Pall.) Maxim."
