"cwr_id","orig_record","sp","spp","var","auth"
418,"Coffea vianneyi J.-F. Leroy","Coffea vianneyi",,,"J.-F. Leroy"
419,"Coffea vohemarensis A.P.Davis & Rakotonas.","Coffea vohemarensis",,,"A.P.Davis & Rakotonas."
420,"Coffea zanguebariae Lour.","Coffea zanguebariae",,,"Lour."
421,"Coincya monensis (L.) Greuter & Burdet","Coincya monensis",,,"(L.) Greuter & Burdet"
422,"Colocasia esculenta (L.) Schott ex Schott & Endl.","Colocasia esculenta",,,"(L.) Schott ex Schott & Endl."
423,"Corylus americana Walt.","Corylus americana",,,"Walt."
424,"Corylus avellana L.","Corylus avellana",,,"L."
425,"Corylus californica (A. DC.) Rose","Corylus californica",,,"(A. DC.) Rose"
426,"Corylus chinensis Franch","Corylus chinensis",,,"Franch"
427,"Corylus colurna L.","Corylus colurna",,,"L."
428,"Corylus cornuta Marsh.","Corylus cornuta",,,"Marsh."
429,"Corylus fargesii (Franchet) Schneider","Corylus fargesii",,,"(Franchet) Schneider"
430,"Corylus hallaisanensis Nakai","Corylus hallaisanensis",,,"Nakai"
431,"Corylus heterophylla Fisch. ex Trautv.","Corylus heterophylla",,,"Fisch. ex Trautv."
432,"Corylus heterophylla var. sutchuenensis Franch","Corylus heterophylla",,"sutchuenensis ","Franch"
433,"Corylus jacquemontii Decne.","Corylus jacquemontii",,,"Decne."
434,"Corylus mandshurica Max.","Corylus mandshurica",,,"Max."
435,"Corylus maxima Mill.","Corylus maxima",,,"Mill."
436,"Corylus sieboldiana Blume","Corylus sieboldiana",,,"Blume"
437,"Corylus yunnanensis (Franch.) A.Camus","Corylus yunnanensis",,,"(Franch.) A.Camus"
438,"Crambe filiformis Jacq.","Crambe filiformis",,,"Jacq."
439,"Crambe hispanica L. subsp. hispanica ","Crambe hispanica","hispanica",,"L. subsp. hispanica "
440,"Cucumis aculeatus Cogn.","Cucumis aculeatus",,,"Cogn."
441,"Cucumis africanus L. f.","Cucumis africanus",,,"L. f."
442,"Cucumis anguria L.","Cucumis anguria",,,"L."
443,"Cucumis baladensis Thulin","Cucumis baladensis",,,"Thulin"
444,"Cucumis carolinus J. H. Kirkbr.","Cucumis carolinus",,,"J. H. Kirkbr."
445,"Cucumis dipsaceus Ehrenb. ex Spach","Cucumis dipsaceus",,,"Ehrenb. ex Spach"
446,"Cucumis ficifolius A. Rich.","Cucumis ficifolius",,,"A. Rich."
447,"Cucumis globosus C. Jeffrey","Cucumis globosus",,,"C. Jeffrey"
448,"Cucumis hastatus Thulin","Cucumis hastatus",,,"Thulin"
449,"Cucumis heptadactylus Naudin","Cucumis heptadactylus",,,"Naudin"
450,"Cucumis hirsutus Sond.","Cucumis hirsutus",,,"Sond."
451,"Cucumis humofructus Stent","Cucumis humofructus",,,"Stent"
452,"Cucumis hystrix Chakr.","Cucumis hystrix",,,"Chakr."
453,"Cucumis insignis C. Jeffrey","Cucumis insignis",,,"C. Jeffrey"
454,"Cucumis jeffreyanus Thulin","Cucumis jeffreyanus",,,"Thulin"
455,"Cucumis kalahariensis A. Meeuse","Cucumis kalahariensis",,,"A. Meeuse"
456,"Cucumis meeusei C. Jeffrey","Cucumis meeusei",,,"C. Jeffrey"
457,"Cucumis melo L.","Cucumis melo",,,"L."
458,"Cucumis melo L. subsp. melo ","Cucumis melo","melo",,"L. subsp. melo "
